parameter,defect,metal,oxide
H_sol_ox,0.1507220373067055,0.06428954037423648,0.4149170824871219
D_ref,0.20091698502597619,0.19299240633960363,0.07071745280269712
K_s_ref,0.17710280744003296,0.19135619083629293,0.06750413578835524
trap_vacancy_N_T,0.16642396505096735,0.14475443263608495,0.08541082164328656
metal_thickness,0.1326451008945288,0.14422724265053408,0.08046293930142163
P_upstream,0.13792368882576045,0.10358063369028489,0.10865171057999669
trap_vacancy_E_b,0.137191422231468,0.11570766883178264,0.05713651015677888
D_ox_ref,0.05876679795974506,0.0632182355880248,0.11098864395457582
f_pinhole,0.07116274853954246,0.09232421556365218,0.06336005344021375
H_s,0.07723301559398063,0.07649926404061955,0.06586510829264794
oxide_thickness,0.07115491297413495,0.07010294428764983,0.07705446687558562
K_ox_ref,0.06725205515686974,0.07390652640676272,0.07665527923856662
grain_size,0.07056116080715624,0.0635693354759429,0.07320569550734579
gb_thickness,0.061989540180320185,0.06953128164962932,0.07052081792219786
E_D_ox,0.07802874165756249,0.06682601200041412,0.054615898463593854
trap_gb_E_b,0.05794501074821441,0.06504800615775189,0.07530394121576486
E_D,0.061568199154011516,0.07213752312532914,0.06325205220283968
trap_gb_N_T,0.06721767051453201,0.07108872474218915,0.05453614163449942
lattice_density,0.05795373606647039,0.06392043536386102,0.07076152304609218
trap_carbide_N_T,0.08126712630724785,0.04941055730355286,0.054074816299265194
f_crack,0.056545142500520076,0.07209025967887864,0.05081213881902508
