parameter,baseline,swing,n_regimes,regime_start,regime_end,n_valid,regime,range
K_s_ref,5,2.245463660967185,2,metal,oxide,9,oxide,global
K_s_ref,6,1.3827077688138654,2,metal,oxide,9,oxide,global
K_s_ref,7,2.1405738176337277,2,metal,oxide,9,oxide,global
K_s_ref,8,0.0362136438819304,1,oxide,oxide,9,oxide,global
K_s_ref,9,1.6884884258586723,2,metal,oxide,9,oxide,global
K_s_ref,10,0.3616564112080091,2,metal,oxide,9,oxide,global
K_s_ref,11,2.2723608037222522,2,metal,oxide,9,oxide,global
K_s_ref,12,2.3754162421171654,2,metal,oxide,9,oxide,global
K_s_ref,13,0.24981625736582205,1,oxide,oxide,9,oxide,global
K_s_ref,14,2.098770006436223,2,metal,oxide,9,oxide,global
K_s_ref,15,2.4586925535834636,2,metal,oxide,9,oxide,global
K_s_ref,16,2.7579189592719455,2,metal,oxide,9,oxide,global
K_s_ref,17,0.4570286712297861,2,metal,oxide,9,oxide,global
K_s_ref,18,2.820089029779387,2,metal,oxide,9,oxide,global
K_s_ref,19,1.9828342695447247,2,metal,oxide,9,oxide,global
K_s_ref,20,1.7876065063434943,2,metal,oxide,9,oxide,global
K_s_ref,21,0.6882370395784093,2,metal,oxide,9,oxide,global
K_s_ref,22,2.1197412579309325,2,metal,oxide,9,oxide,global
K_s_ref,23,0.6853263412772205,2,metal,oxide,9,oxide,global
K_s_ref,24,0.4656381316392446,2,metal,oxide,9,oxide,global
H_s,0,0.0389330710878209,1,oxide,oxide,9,oxide,global
H_s,1,5.141316014277842e-05,1,oxide,oxide,9,oxide,global
H_s,2,8.73086419636089e-05,1,oxide,oxide,9,oxide,global
H_s,3,0.01644485010032852,1,oxide,oxide,9,oxide,global
H_s,4,0.002207618578307454,1,oxide,oxide,9,oxide,global
H_s,5,0.011301721859576355,1,oxide,oxide,9,oxide,global
H_s,6,0.03890948236745087,1,oxide,oxide,9,oxide,global
H_s,7,0.004517824825420592,1,oxide,oxide,9,oxide,global
H_s,8,0.0012499639255471376,1,oxide,oxide,9,oxide,global
H_s,9,0.0028228053259698746,1,oxide,oxide,9,oxide,global
H_s,10,0.0002893228232041759,1,oxide,oxide,9,oxide,global
H_s,11,0.0126733975129158,1,oxide,oxide,9,oxide,global
H_s,12,0.008692079419628454,1,oxide,oxide,9,oxide,global
H_s,13,0.0001061445566662497,1,oxide,oxide,9,oxide,global
H_s,14,0.0028528576303174687,1,oxide,oxide,9,oxide,global
H_s,15,0.0214247863984126,1,oxide,oxide,9,oxide,global
H_s,16,0.04146101164427817,1,oxide,oxide,9,oxide,global
H_s,17,8.479527464026304e-05,1,oxide,oxide,9,oxide,global
H_s,18,0.05236005119116477,1,oxide,oxide,9,oxide,global
H_s,19,0.005552904448487926,1,oxide,oxide,9,oxide,global
H_s,20,0.008645846119141298,1,oxide,oxide,9,oxide,global
H_s,21,0.00010150046824883363,1,oxide,oxide,9,oxide,global
H_s,22,0.0031446482619764352,1,oxide,oxide,9,oxide,global
H_s,23,9.686597613789648e-05,1,oxide,oxide,9,oxide,global
H_s,24,2.343725712561218e-05,1,oxide,oxide,9,oxide,global
D_ox_ref,0,0.7741209698071045,2,oxide,metal,9,oxide,global
D_ox_ref,1,2.285114126105684,2,oxide,metal,9,oxide,global
D_ox_ref,2,2.607128593117816,2,oxide,metal,9,oxide,global
D_ox_ref,3,1.3075266335190567,2,oxide,metal,9,oxide,global
D_ox_ref,4,1.8527294677500386,2,oxide,metal,9,oxide,global
D_ox_ref,5,1.4710339594057533,2,oxide,metal,9,oxide,global
D_ox_ref,6,0.9270144885758026,2,oxide,metal,9,oxide,global
D_ox_ref,7,1.7669960917280199,2,oxide,metal,9,oxide,global
D_ox_ref,8,3.7352178776250735,1,oxide,oxide,9,oxide,global
D_ox_ref,9,1.8723234168549037,2,oxide,metal,9,oxide,global
D_ox_ref,10,3.5567307271870154,2,oxide,metal,9,oxide,global
D_ox_ref,11,1.0804408584458094,2,oxide,metal,9,oxide,global
D_ox_ref,12,1.5550607820460767,2,oxide,metal,9,oxide,global
D_ox_ref,13,3.314186355100373,2,oxide,metal,9,oxide,global
D_ox_ref,14,1.799401913312064,2,oxide,metal,9,oxide,global
D_ox_ref,15,1.3567315537381668,2,oxide,metal,9,oxide,global
D_ox_ref,16,0.40736729008739697,2,oxide,metal,9,oxide,global
D_ox_ref,17,1.9907873127333806,2,oxide,metal,9,oxide,global
D_ox_ref,18,0.7973237128191691,2,oxide,metal,9,oxide,global
D_ox_ref,19,1.5333056915130965,2,oxide,metal,9,oxide,global
D_ox_ref,20,1.3940589902821259,2,oxide,metal,9,oxide,global
D_ox_ref,21,2.827215157314575,2,oxide,metal,9,oxide,global
D_ox_ref,22,1.7246266665488448,2,oxide,metal,9,oxide,global
D_ox_ref,23,2.3075777360795304,2,oxide,metal,9,oxide,global
D_ox_ref,24,3.044667942075183,2,oxide,metal,9,oxide,global
E_D_ox,0,0.038517255043453394,1,oxide,oxide,9,oxide,global
E_D_ox,1,0.07312208936281069,1,oxide,oxide,9,oxide,global
E_D_ox,2,0.07308189896169781,1,oxide,oxide,9,oxide,global
E_D_ox,3,0.05581874180702507,1,oxide,oxide,9,oxide,global
E_D_ox,4,0.07147930034276069,1,oxide,oxide,9,oxide,global
E_D_ox,5,0.06464878152478933,1,oxide,oxide,9,oxide,global
E_D_ox,6,0.03890543321731797,1,oxide,oxide,9,oxide,global
E_D_ox,7,0.06898512292290983,1,oxide,oxide,9,oxide,global
E_D_ox,8,0.07201666017828995,1,oxide,oxide,9,oxide,global
E_D_ox,9,0.07103597005845343,1,oxide,oxide,9,oxide,global
E_D_ox,10,0.07291141220224806,1,oxide,oxide,9,oxide,global
E_D_ox,11,0.06408570991054548,1,oxide,oxide,9,oxide,global
E_D_ox,12,0.06449614448621867,1,oxide,oxide,9,oxide,global
E_D_ox,13,0.0730841058062895,1,oxide,oxide,9,oxide,global
E_D_ox,14,0.07096280016083163,1,oxide,oxide,9,oxide,global
E_D_ox,15,0.05583147440895923,1,oxide,oxide,9,oxide,global
E_D_ox,16,0.032263887855635685,1,oxide,oxide,9,oxide,global
E_D_ox,17,0.0730866886931308,1,oxide,oxide,9,oxide,global
E_D_ox,18,0.023935807798156194,2,oxide,metal,9,oxide,global
E_D_ox,19,0.06738801067079095,1,oxide,oxide,9,oxide,global
E_D_ox,20,0.06525001337597387,1,oxide,oxide,9,oxide,global
E_D_ox,21,0.0730803120058708,1,oxide,oxide,9,oxide,global
E_D_ox,22,0.07045232253478217,1,oxide,oxide,9,oxide,global
E_D_ox,23,0.07308375663273335,1,oxide,oxide,9,oxide,global
E_D_ox,24,0.07314503389140237,1,oxide,oxide,9,oxide,global
K_ox_ref,0,0.5241804896341589,1,oxide,oxide,9,oxide,global
K_ox_ref,1,0.6984782114726813,1,oxide,oxide,9,oxide,global
K_ox_ref,2,0.6982512390955316,1,oxide,oxide,9,oxide,global
K_ox_ref,3,0.4094508085142767,2,oxide,metal,9,oxide,global
K_ox_ref,4,0.6929456006111658,1,oxide,oxide,9,oxide,global
K_ox_ref,5,0.6147212308907516,1,oxide,oxide,9,oxide,global
K_ox_ref,6,0.3561012476111459,2,oxide,metal,9,oxide,global
K_ox_ref,7,0.6758189111308026,1,oxide,oxide,9,oxide,global
K_ox_ref,8,0.6850802861525378,1,oxide,oxide,9,oxide,global
K_ox_ref,9,0.6908666071589518,1,oxide,oxide,9,oxide,global
K_ox_ref,10,0.6948173386927444,1,oxide,oxide,9,oxide,global
K_ox_ref,11,0.6154499586465699,1,oxide,oxide,9,oxide,global
K_ox_ref,12,0.6634135341047116,1,oxide,oxide,9,oxide,global
K_ox_ref,13,0.698352410132245,1,oxide,oxide,9,oxide,global
K_ox_ref,14,0.6917105792883336,1,oxide,oxide,9,oxide,global
K_ox_ref,15,0.5642872254463277,1,oxide,oxide,9,oxide,global
K_ox_ref,16,0.42083469234609844,2,oxide,metal,9,oxide,global
K_ox_ref,17,0.6983507163013567,1,oxide,oxide,9,oxide,global
K_ox_ref,18,0.43132908254230284,1,oxide,oxide,9,oxide,global
K_ox_ref,19,0.664438999804193,1,oxide,oxide,9,oxide,global
K_ox_ref,20,0.5294894777068976,1,oxide,oxide,9,oxide,global
K_ox_ref,21,0.6978267280634348,1,oxide,oxide,9,oxide,global
K_ox_ref,22,0.6793662899021827,1,oxide,oxide,9,oxide,global
K_ox_ref,23,0.6972599146545116,1,oxide,oxide,9,oxide,global
K_ox_ref,24,0.6987500136286212,1,oxide,oxide,9,oxide,global
H_sol_ox,0,3.188002966781388,2,oxide,metal,9,oxide,global
H_sol_ox,1,3.0957876515198044,2,oxide,metal,9,oxide,global
H_sol_ox,2,2.3956057718326087,2,oxide,metal,9,oxide,global
H_sol_ox,3,4.092963073395983,2,oxide,metal,9,oxide,global
H_sol_ox,4,3.2496881386382435,2,oxide,metal,9,oxide,global
H_sol_ox,5,3.295670828006081,2,oxide,metal,9,oxide,global
H_sol_ox,6,1.0876094275861543,2,oxide,metal,9,oxide,global
H_sol_ox,7,3.7586761249272898,2,oxide,metal,9,oxide,global
H_sol_ox,8,3.351759947108653,2,oxide,metal,9,oxide,global
H_sol_ox,9,2.1111390480533325,2,oxide,metal,9,oxide,global
H_sol_ox,10,3.0087126752971516,2,oxide,metal,9,oxide,global
H_sol_ox,11,3.2409780521339493,2,oxide,metal,9,oxide,global
H_sol_ox,12,3.007643566644604,2,oxide,metal,9,oxide,global
H_sol_ox,13,3.1104588114018354,2,oxide,metal,9,oxide,global
H_sol_ox,14,3.079548860999328,2,oxide,metal,9,oxide,global
H_sol_ox,15,2.2455573596002814,2,oxide,metal,9,oxide,global
H_sol_ox,16,3.8448890645755456,2,oxide,metal,9,oxide,global
H_sol_ox,17,3.454533861013669,2,oxide,metal,9,oxide,global
H_sol_ox,18,2.9706881423127878,2,oxide,metal,9,oxide,global
H_sol_ox,19,2.711591778682174,2,oxide,metal,9,oxide,global
H_sol_ox,20,3.016293549206684,2,oxide,metal,9,oxide,global
H_sol_ox,21,3.3758106899071962,2,oxide,metal,9,oxide,global
H_sol_ox,22,2.7377048767332566,2,oxide,metal,9,oxide,global
H_sol_ox,23,3.463955704194972,2,oxide,metal,9,oxide,global
H_sol_ox,24,3.446109386346011,2,oxide,metal,9,oxide,global
metal_thickness,0,0.9657498327262057,1,metal,metal,9,oxide,global
metal_thickness,1,0.02741064217452151,1,oxide,oxide,9,oxide,global
metal_thickness,2,0.24681409784909267,1,oxide,oxide,9,oxide,global
metal_thickness,3,0.8657688887773601,1,metal,metal,9,oxide,global
metal_thickness,4,0.7773313723498693,2,oxide,metal,9,oxide,global
metal_thickness,5,0.5839258269293962,2,oxide,metal,9,oxide,global
metal_thickness,6,0.7988720246493484,2,oxide,metal,9,oxide,global
metal_thickness,7,0.7381202118543622,2,oxide,metal,9,oxide,global
metal_thickness,8,0.0019722470041692495,1,oxide,oxide,9,oxide,global
metal_thickness,9,0.30700789795092326,2,oxide,metal,9,oxide,global
metal_thickness,10,0.0014003614942723064,1,oxide,oxide,9,oxide,global
metal_thickness,11,0.7124721232324687,2,oxide,metal,9,oxide,global
metal_thickness,12,0.49065085800937136,2,oxide,metal,9,oxide,global
metal_thickness,13,0.0006583330460433067,1,oxide,oxide,9,oxide,global
metal_thickness,14,0.6121953397994018,2,oxide,metal,9,oxide,global
metal_thickness,15,0.8135210963314489,2,oxide,metal,9,oxide,global
metal_thickness,16,0.9146958506307308,1,metal,metal,9,oxide,global
metal_thickness,17,0.08378756146715145,1,oxide,oxide,9,oxide,global
metal_thickness,18,0.8958172775302155,1,metal,metal,9,oxide,global
metal_thickness,19,0.4043876678174242,2,oxide,metal,9,oxide,global
metal_thickness,20,0.7439387217957907,2,oxide,metal,9,oxide,global
metal_thickness,21,0.002969194552024748,1,oxide,oxide,9,oxide,global
metal_thickness,22,0.30551770968286535,2,oxide,metal,9,oxide,global
metal_thickness,23,0.010789119670570179,1,oxide,oxide,9,oxide,global
metal_thickness,24,0.003573575626044525,1,oxide,oxide,9,oxide,global
oxide_thickness,0,1.1158071730667534,2,metal,oxide,9,oxide,global
oxide_thickness,1,2.7950268638314744,2,metal,oxide,9,oxide,global
oxide_thickness,2,1.838436154337294,2,metal,oxide,9,oxide,global
