regime,parameter,773K,1073K,1273K,best
defect,D_ox_ref,0.9695172413232535,1.2309965499131306,1.1213792991749136,1.2309965499131306
defect,D_ref,1.733611811576999,2.029398355610154,2.522991011280478,2.522991011280478
defect,E_D,1.1232308037059717,0.9772876334815278,1.2333538789441254,1.2333538789441254
defect,E_D_ox,0.8557182871854592,1.0116151294860842,1.2819765303876072,1.2819765303876072
defect,H_s,1.8335489826351885,1.336219230107544,0.9754768116844819,1.8335489826351885
defect,H_sol_ox,1.3794370933194235,1.7051617315072944,2.693548358274685,2.693548358274685
defect,K_ox_ref,1.1238843219958685,0.9653676086483506,1.1645237311097931,1.1645237311097931
defect,K_s_ref,1.6452294221093482,2.2761266539374576,2.814382584458565,2.814382584458565
defect,P_upstream,1.8913787628194931,1.5194008554620801,1.88134727973146,1.8913787628194931
defect,crack_thickness_factor,1.2624617826423281,1.1582375501430022,1.1410045802431452,1.2624617826423281
defect,f_crack,1.0261676419271315,1.2191815175025926,0.9972823034627297,1.2191815175025926
defect,f_gb_defect,1.0463935022517963,0.7956896818451862,1.1318736522927177,1.1318736522927177
defect,f_pinhole,1.2191830311681577,0.9234588519993338,1.5477893632277182,1.5477893632277182
defect,gb_diffusivity_factor,1.0094057667440786,0.9693020863482817,0.9390354110478766,1.0094057667440786
defect,gb_thickness,0.8271477459472617,1.2169649464019878,1.1812373497908124,1.2169649464019878
defect,grain_size,0.9522774191433817,1.1883326678077517,1.229352551674064,1.229352551674064
defect,lattice_density,1.0000580662011544,1.3274041206141618,1.021699387151985,1.3274041206141618
defect,metal_thickness,1.6978296601650567,1.5820223556398145,2.181672855379966,2.181672855379966
defect,oxide_thickness,1.0134774905343777,0.7791400198419717,0.9092924176320293,1.0134774905343777
defect,trap_carbide_E_b,1.084296886104394,1.0160584384620948,1.0778074680447562,1.084296886104394
defect,trap_carbide_N_T,0.9463627979433811,0.7154339759924315,1.424249423473522,1.424249423473522
defect,trap_dislocation_E_b,0.933720524099514,0.8865477426963991,0.9524186083044168,0.9524186083044168
defect,trap_dislocation_N_T,0.7253991519281132,1.0246030612771129,0.9304368327690578,1.0246030612771129
defect,trap_gb_E_b,0.6711487418779178,0.913553295541648,1.0826034477540565,1.0826034477540565
defect,trap_gb_N_T,1.3639047753655513,0.8923030850529382,1.2648900523990623,1.3639047753655513
defect,trap_vacancy_E_b,1.5026308479953656,1.3816282816617727,1.5305883624386156,1.5305883624386156
defect,trap_vacancy_N_T,1.39285518079908,1.9493516580949584,1.2725784644724518,1.9493516580949584
metal,D_ox_ref,0.6706196704073945,0.5487965641621524,0.8748123635043148,0.8748123635043148
metal,D_ref,1.4666558770741576,1.9399605655461987,2.0307892417020343,2.0307892417020343
metal,E_D,0.9165136933234888,0.9860576626684753,0.7260626244183126,0.9860576626684753
metal,E_D_ox,0.5587457320113759,0.7451703104152291,0.7375877003266759,0.7451703104152291
metal,H_s,1.951976176307039,1.3363244858545706,0.6959991540162236,1.951976176307039
metal,H_sol_ox,0.7917345487091907,0.6868728226258215,0.7297297018394939,0.7917345487091907
metal,K_ox_ref,0.7469419824888536,0.6116097661437516,0.5688980952195944,0.7469419824888536
metal,K_s_ref,1.57273223851581,1.9791057283172566,2.040612203544073,2.040612203544073
metal,P_upstream,1.040178789142882,1.4531906540454493,1.5020386323672164,1.5020386323672164
metal,crack_thickness_factor,0.7094308151547227,0.7853601882345764,0.6812634122652959,0.7853601882345764
metal,f_crack,0.5691094141437059,0.5342640704180392,0.8748435615310229,0.8748435615310229
metal,f_gb_defect,0.6912529145631429,0.7722804497289772,0.9619975741904887,0.9619975741904887
metal,f_pinhole,0.7128544357972539,0.8678007814381815,1.0819548233281542,1.0819548233281542
metal,gb_diffusivity_factor,0.5607133219556857,0.6615852822133604,0.727281549710286,0.727281549710286
metal,gb_thickness,0.7725148162472607,0.8212734344264037,0.8884676486224655,0.8884676486224655
metal,grain_size,0.9567945364353108,0.7025018530916538,1.0204704693613862,1.0204704693613862
metal,lattice_density,0.3822370229245092,0.6957048737892246,0.503497329516076,0.6957048737892246
metal,metal_thickness,1.127187506357082,1.6538020712344603,1.8224438795480202,1.8224438795480202
metal,oxide_thickness,0.6348407940736708,0.8066287874994907,0.904109986040778,0.904109986040778
metal,trap_carbide_E_b,0.7273089675069141,0.7327337523444696,0.6976014508952708,0.7327337523444696
metal,trap_carbide_N_T,0.7318125011517455,0.9705168924908351,0.7086623985894306,0.9705168924908351
metal,trap_dislocation_E_b,0.6959035017805454,0.9123927490041167,1.0345725072833967,1.0345725072833967
metal,trap_dislocation_N_T,0.6333224367611265,0.4473623260641152,0.8888767822000639,0.8888767822000639
metal,trap_gb_E_b,0.950766285012795,1.396606843591602,0.9819990203104957,1.396606843591602
metal,trap_gb_N_T,0.7934489828475494,0.8949122408455957,1.3815629079441554,1.3815629079441554
metal,trap_vacancy_E_b,1.5102136405616635,1.13843725768846,1.0444752363465284,1.5102136405616635
metal,trap_vacancy_N_T,1.3738561553054702,1.6808101719758355,1.092692966139412,1.6808101719758355
oxide,D_ox_ref,1.2711024553663375,1.0017810188920766,1.1334577403047852,1.2711024553663375
oxide,D_ref,0.6073063245310605,1.0664593032769847,0.8078667644899166,1.0664593032769847
oxide,E_D,1.0294832699154546,1.1174174373003194,0.4369839425205033,1.1174174373003194
oxide,E_D_ox,0.41585024660023945,1.1229588517715472,0.5999809171597265,1.1229588517715472
oxide,H_s,0.9430154250559734,0.7405886072912052,0.9735676434786877,0.9735676434786877
oxide,H_sol_ox,2.3971081356667883,4.951080922359907,5.494301239290614,5.494301239290614
oxide,K_ox_ref,1.3357280539676712,1.285519610793112,1.0837355697980764,1.3357280539676712
oxide,K_s_ref,0.6889859113454926,1.3260641568237421,1.2699521623539467,1.3260641568237421
oxide,P_upstream,2.0489331650961833,1.3798527121155522,1.243581631402517,2.0489331650961833
oxide,crack_thickness_factor,0.4726712918721705,0.9578425926565015,0.7428584672555406,0.9578425926565015
oxide,f_crack,0.5313812341280706,0.7826161121360666,0.8589011795636754,0.8589011795636754
oxide,f_gb_defect,0.5245150757946943,1.149142472943193,0.6186589915310392,1.149142472943193
oxide,f_pinhole,0.8620903544536092,0.8394361792131788,0.9275955421675273,0.9275955421675273
oxide,gb_diffusivity_factor,0.9403172888026945,0.8840478992408427,0.7530011598263111,0.9403172888026945
oxide,gb_thickness,0.7035996586574953,1.0009493311947837,0.7904405402872302,1.0009493311947837
oxide,grain_size,0.5844678668061075,0.9764457261135502,1.0043804964602039,1.0043804964602039
oxide,lattice_density,0.6789907755992747,0.8768528752897182,1.1805562479538934,1.1805562479538934
oxide,metal_thickness,0.6829182530001046,1.059558214636596,0.8995809082175033,1.059558214636596
oxide,oxide_thickness,1.472017477543861,0.7762404358642465,1.1627879258557496,1.472017477543861
oxide,trap_carbide_E_b,0.6369074595421393,0.9134445016297855,0.7906351693034551,0.9134445016297855
oxide,trap_carbide_N_T,0.6123941135465756,0.8873012882155505,0.8119643275642489,0.8873012882155505
oxide,trap_dislocation_E_b,0.7747174730532724,0.8556546131396522,0.8496480709173314,0.8556546131396522
oxide,trap_dislocation_N_T,0.7553526940361369,0.9863108760856273,0.659145870164624,0.9863108760856273
oxide,trap_gb_E_b,0.7945532924690055,0.8386931391497005,0.669839114731391,0.8386931391497005
oxide,trap_gb_N_T,0.5124773288239657,0.7697181148264601,0.6343297086878238,0.7697181148264601
oxide,trap_vacancy_E_b,0.8485777068337479,1.0798431151026247,0.8564033081708874,1.0798431151026247
oxide,trap_vacancy_N_T,0.6671102109121472,1.1366413929710646,1.1481188337135315,1.1481188337135315
