parameter,defect,metal,oxide
H_sol_ox,0.1751256973835813,0.06454858545337158,0.4409388967685577
K_s_ref,0.18298194323981382,0.18050331631784033,0.10191856635248728
D_ref,0.16403661697242206,0.17963442158837034,0.06483442832052665
metal_thickness,0.14184522772257682,0.16120513417015034,0.0721948426101764
P_upstream,0.12231904185849272,0.13286353669203677,0.0998022293846901
trap_vacancy_N_T,0.08273888619130484,0.09665467243741377,0.09214097113506853
f_pinhole,0.10063219797240455,0.09570482494303914,0.07444312519413124
trap_vacancy_E_b,0.0995138452056413,0.09238955037364432,0.06872967342842128
trap_gb_N_T,0.0822390108049995,0.12220679958324732,0.050907409287307775
grain_size,0.0799284788338114,0.09026619737167273,0.08060541436606758
D_ox_ref,0.0729084113883548,0.07738194081860807,0.09096436175900381
oxide_thickness,0.05911921658069323,0.07997347585837472,0.09331822244039031
trap_dislocation_E_b,0.06192314033197751,0.09151359979695567,0.06818753954601016
trap_carbide_N_T,0.09260003547652226,0.06268506719355446,0.06516327358450946
K_ox_ref,0.07571352112681663,0.050322149723349655,0.08697396551873558
trap_gb_E_b,0.07038733245511099,0.08686318717444953,0.05375717628111368
f_gb_defect,0.07359071987659824,0.08509394981051357,0.04964977370568523
lattice_density,0.06642754979382566,0.04453709410194913,0.09474419892077628
H_s,0.06342230923865082,0.06156493391353294,0.07813256389642065
E_D_ox,0.08334991767414136,0.065243668421166,0.048150786091363765
E_D,0.08018863203524801,0.06422421238799057,0.03506964928363547
