regime,metric,parameter,pawn_median,delta,S1_givendata,n,floor,delta_over_floor,temperature_K
oxide,flux,D_ref,0.05985713070458605,0.06139711567746355,0.00676012370417567,1499,0.10109744159979256,0.6073063245310605,773.0
oxide,flux,E_D,0.07343117633978208,0.10407812475824116,0.010912957742906423,1499,0.10109744159979256,1.0294832699154546,773.0
oxide,flux,K_s_ref,0.07081796514604069,0.06965471293533079,0.020186204181940483,1499,0.10109744159979256,0.6889859113454926,773.0
oxide,flux,H_s,0.07998668762023303,0.09533644686229982,0.016994868738359314,1499,0.10109744159979256,0.9430154250559734,773.0
oxide,flux,D_ox_ref,0.1433911496553258,0.12850520624875122,0.12949173467712863,1499,0.10109744159979256,1.2711024553663375,773.0
oxide,flux,E_D_ox,0.07120756119292056,0.04204139601992704,0.0038233724711067216,1499,0.10109744159979256,0.41585024660023945,773.0
oxide,flux,K_ox_ref,0.1306204136090727,0.1350386889292012,0.0889622879181394,1499,0.10109744159979256,1.3357280539676712,773.0
oxide,flux,H_sol_ox,0.23033355570380254,0.24234149975396074,0.26021660653632295,1499,0.10109744159979256,2.3971081356667883,773.0
oxide,flux,metal_thickness,0.0627907493884812,0.06904128820011043,0.005317211863920227,1499,0.10109744159979256,0.6829182530001046,773.0
oxide,flux,oxide_thickness,0.1724165700325198,0.14881720096986445,0.1988271682510883,1499,0.10109744159979256,1.472017477543861,773.0
oxide,flux,P_upstream,0.19567044696464309,0.20714190100018953,0.28088146182813106,1499,0.10109744159979256,2.0489331650961833,773.0
oxide,flux,f_pinhole,0.05772698577575207,0.08715512926311822,0.006816771328229144,1499,0.10109744159979256,0.8620903544536092,773.0
oxide,flux,f_crack,0.04581276406493218,0.05372128328448831,0.008269069361783156,1499,0.10109744159979256,0.5313812341280706,773.0
oxide,flux,f_gb_defect,0.06329997776295308,0.05302713224336487,0.005264291549456857,1499,0.10109744159979256,0.5245150757946943,773.0
oxide,flux,crack_thickness_factor,0.05858350011118524,0.04778585832594526,0.007213477180392758,1499,0.10109744159979256,0.4726712918721705,773.0
oxide,flux,gb_diffusivity_factor,0.07392706248610184,0.09506367219000568,0.029467608617999047,1499,0.10109744159979256,0.9403172888026945,773.0
oxide,flux,grain_size,0.05794228217767848,0.059088206031385794,0.010223259045333166,1499,0.10109744159979256,0.5844678668061075,773.0
oxide,flux,gb_thickness,0.05563486768957082,0.07113212540076011,0.01175746341243238,1499,0.10109744159979256,0.7035996586574953,773.0
oxide,flux,lattice_density,0.05918367651514134,0.06864423028294553,0.0062955987174498455,1499,0.10109744159979256,0.6789907755992747,773.0
oxide,flux,trap_dislocation_E_b,0.06545474760951746,0.07832195448834207,0.01217879750730515,1499,0.10109744159979256,0.7747174730532724,773.0
oxide,flux,trap_dislocation_N_T,0.06301441826243596,0.07636422487256433,0.007308278641308129,1499,0.10109744159979256,0.7553526940361369,773.0
oxide,flux,trap_gb_E_b,0.06297531687791862,0.08032730508330818,0.0074907893262398245,1499,0.10109744159979256,0.7945532924690055,773.0
oxide,flux,trap_gb_N_T,0.056949659206062805,0.051810146821998554,0.006031782676885381,1499,0.10109744159979256,0.5124773288239657,773.0
oxide,flux,trap_vacancy_E_b,0.06524349566377585,0.08578903515951072,0.017422545756699017,1499,0.10109744159979256,0.8485777068337479,773.0
oxide,flux,trap_vacancy_N_T,0.060874348745546994,0.06744313558831609,0.011714235744625483,1499,0.10109744159979256,0.6671102109121472,773.0
oxide,flux,trap_carbide_E_b,0.060173598207902954,0.06438971469553367,0.013247242219851726,1499,0.10109744159979256,0.6369074595421393,773.0
oxide,flux,trap_carbide_N_T,0.0692372692906382,0.061911478130331654,0.008152822035186648,1499,0.10109744159979256,0.6123941135465756,773.0
