parameter,defect,metal,oxide
H_sol_ox,0.7084082017913599,0.6208089857855963,0.6411697065994002
f_pinhole,0.1358305821028197,0.05947852820131455,0.07955336270811579
K_s_ref,0.07781768220444073,0.07674617414824653,0.11598227965928162
trap_vacancy_N_T,0.08840584072409649,0.06993412118436172,0.09986328972423164
D_ox_ref,0.07024469380991663,0.08229694114267617,0.0993225726193864
f_gb_defect,0.12062973006876769,0.0617700205163446,0.06049363740500117
P_upstream,0.06036736499507618,0.07086681089162751,0.08593936845818062
crack_thickness_factor,0.08961806965144149,0.07178865748393691,0.05402636019566416
trap_vacancy_E_b,0.04665998313637197,0.08257254636335538,0.08286376361782988
metal_thickness,0.05419794872951183,0.08026781524098082,0.07578322537745716
D_ref,0.06050592527674341,0.08157745144255896,0.06506621979694788
oxide_thickness,0.07051938038672684,0.07367644833320934,0.059694134163599866
trap_carbide_N_T,0.08012946250094685,0.05901565750975434,0.06395397562760884
trap_dislocation_N_T,0.05236400178729803,0.07346810496482721,0.07286880988742159
trap_carbide_E_b,0.058945862797270945,0.07874403055950495,0.05660463008466276
trap_gb_E_b,0.07385528221538258,0.06863344418618597,0.05165739979217745
gb_diffusivity_factor,0.06368340501499421,0.06646447889114179,0.0629555508775242
grain_size,0.05092601510455518,0.06913630265795778,0.06939918703643258
gb_thickness,0.06366364904377032,0.07149945749798205,0.04864211451541659
lattice_density,0.04708159238314365,0.039528175552197314,0.08049076314440531
E_D_ox,0.06393807943156778,0.06302007099433556,0.03956554205401423
trap_dislocation_E_b,0.051307340581190644,0.0406864815156547,0.06655675330583107
