parameter,defect,metal,oxide
H_sol_ox,0.46147274075506983,0.4245842430123177,0.38217061435973354
K_s_ref,0.07685051092295507,0.10142359145755281,0.08248967312146319
D_ox_ref,0.07373691759270636,0.09184837785145054,0.08333997191175864
f_pinhole,0.12235672416782775,0.06026567118586201,0.06481730704528632
f_gb_defect,0.11446196898126486,0.07200839150786592,0.06068316398627279
oxide_thickness,0.08376051842537963,0.09397141137255959,0.06770340640472682
metal_thickness,0.08002063384595545,0.08021499869724985,0.07769497342036202
trap_vacancy_N_T,0.07526517716091176,0.09023278797516689,0.06880425274207658
K_ox_ref,0.07041299932295192,0.08174622427068452,0.06940042240894656
D_ref,0.07644467419348935,0.07751812619605941,0.06702947311755603
f_crack,0.1099789217595582,0.05678867595662291,0.05236921276951362
E_D_ox,0.08940824953011818,0.06165377393241871,0.06309144849801711
trap_carbide_E_b,0.06525453783409098,0.07480256596857227,0.07102344630131693
trap_vacancy_E_b,0.08016157660707424,0.0622938285580802,0.0677612542897517
trap_gb_E_b,0.06557759519844827,0.07466779871162502,0.06639442164053563
gb_diffusivity_factor,0.07505561466292679,0.061367438433824785,0.06864023282417064
H_s,0.06832695932222,0.05994896813203597,0.07248738850986887
trap_carbide_N_T,0.05647110259500239,0.06847488387554693,0.06925005046766705
E_D,0.06534145616745482,0.07299866131191432,0.05517798263912253
