parameter,defect,metal,oxide
H_sol_ox,0.17681566386160705,0.18284547586318428,0.17229931065154547
H_s,0.14602611545066507,0.12173975544235105,0.13992217033577942
D_ox_ref,0.11882214539734337,0.12941897343288142,0.12611741160773848
oxide_thickness,0.1282897850455916,0.11597297467274018,0.12980653769179454
trap_vacancy_E_b,0.10589708165217154,0.14955679541431946,0.11532577273738048
D_ref,0.12635169549183278,0.12450652722747814,0.09637624187937371
K_s_ref,0.1295405681935987,0.0946111066188692,0.11663998221036247
trap_vacancy_N_T,0.0993707771983359,0.11975643064427734,0.11923726929063821
K_ox_ref,0.10168078211132195,0.08583272688067707,0.11284634200578163
P_upstream,0.09834986770996254,0.09118127992956165,0.102630642650656
metal_thickness,0.09414453193666306,0.08794461964187848,0.0963286635534801
f_pinhole,0.11748572304280608,0.05889778352784741,0.05646177242695727
f_gb_defect,0.09791491068732225,0.06649191845682506,0.06506883783820086
gb_thickness,0.06822064265463511,0.08346136222743322,0.06533689126084055
trap_dislocation_N_T,0.07022640301810593,0.06486518782063377,0.07295307983099844
