parameter,defect,metal,oxide
H_sol_ox,0.3842315684144577,0.35663009981761495,0.376319768734712
D_ox_ref,0.16844781191827315,0.20524316505395182,0.16999110518123195
K_ox_ref,0.13391943604328838,0.14142475944044636,0.13207829828386708
metal_thickness,0.058053392817051144,0.09130481658176329,0.06617745163442294
oxide_thickness,0.06913599542542889,0.07035524648931296,0.06767622859684233
lattice_density,0.06815528641807257,0.05648095738659335,0.0783811429842117
D_ref,0.06617882367788841,0.06782332911062595,0.0657093543346571
K_s_ref,0.06930456335151167,0.05969964870668355,0.06947974264722342
trap_dislocation_E_b,0.06999357523221564,0.06294511378848727,0.06462975316877918
grain_size,0.06722003136368437,0.0671096017178333,0.063099829416479
trap_vacancy_E_b,0.07128562478308491,0.05616425433276731,0.06867911941294197
trap_carbide_E_b,0.07000329034846142,0.05665615482062478,0.06891705581498778
trap_dislocation_N_T,0.06368752068649752,0.0634933469897487,0.06159781390427324
f_crack,0.06638839914009953,0.060842924269786075,0.05943517900822771
E_D,0.05902793470516054,0.06179303343126421,0.06559445297610786
gb_thickness,0.05881306008863353,0.07103357501594745,0.054649766511007336
crack_thickness_factor,0.06447730786393283,0.0519471173283739,0.06792973093173227
f_pinhole,0.05554604008816331,0.06828207685327439,0.05890371358683567
trap_gb_E_b,0.05675851095956477,0.06933254269875924,0.055363575717144765
