D_ref,E_D,K_s_ref,H_s,D_ox_ref,E_D_ox,K_ox_ref,H_sol_ox,metal_thickness,oxide_thickness,P_upstream,f_pinhole,f_crack,f_gb_defect,crack_thickness_factor,gb_diffusivity_factor,grain_size,gb_thickness,lattice_density,trap_dislocation_E_b,trap_dislocation_N_T,trap_gb_E_b,trap_gb_N_T,trap_vacancy_E_b,trap_vacancy_N_T,trap_carbide_E_b,trap_carbide_N_T,temperature,flux,permeability,PRF,frac_oxide,frac_metal,frac_defect,D_eff,D_modification,P_interface,flux_intact,flux_defect,flux_bare_metal,regime,regime_hierarchy,dominant_path
4.1174223878009625e-07,79034.01303082787,0.02540925220908776,37773.02103461628,6.081672546712663e-20,70580.32975875039,0.3137254590229357,132033.08400524364,0.0027212057653272976,9.615571355134932e-06,6610230.550161396,0.1716664013858446,0.28264687335838745,0.11548905235890734,0.012764457210180333,27.140425085288122,0.00016424873935493633,7.788699659020033e-10,8.908345507862356e+28,21303.69080147685,643217347674585.8,25732.5709843758,1.5267140887960724e+16,36151.08945417703,3.5857229276397224e+27,35093.64297570352,1.756185393581818e+27,1273.0,0.005586690912049064,4.929357129927392e-13,1.0036221222611694,0.0070260319842430675,0.42117302168738185,0.5718009463283751,2.0184495381641324e-07,0.3612473783049669,6501767.696564641,0.0023922157616952763,0.0031944751503537876,0.00560692658956787,defect,metal_limited/traps_defect_limited,defects
1.910529155761518e-07,72609.92915217686,0.027084787490698904,30581.1406898509,5.848497772248311e-20,70226.43190675044,0.3321337127639319,94424.55485950339,0.0026946856276471995,9.10735205429711e-06,5612120.496298622,0.24506344140052455,0.18383328075821098,0.22433388332207171,0.4953885745913373,48.01237345094444,0.00016711369415944624,8.553886506631611e-10,8.285802509920737e+28,15628.342003656486,721411534938236.8,28722.68927925607,2.7461373852100424e+16,46134.70681577841,1.6478837095146224e+27,34488.943100705015,3.900978079883394e+26,1273.0,0.00242409730740487,2.0503097546352923e-14,1.044240930067469,0.05939747455343613,0.26825093321258464,0.6723515922339792,9.44641234957911e-08,0.3735102523409629,4594731.8062618235,0.0007942516230411037,0.001629845684363766,0.002531341626858509,defect,transition,defects
2.699879551406824e-07,67026.86161010986,0.07979519994767967,33162.362448692315,3.260366877484618e-20,70631.81824489411,0.17232768832196943,154480.38467452355,0.0016013882103968037,7.028260606204354e-06,9877889.618938057,0.2321451196329229,0.27132605095162704,0.2563319063708655,0.058019729036758186,65.24213054171844,0.00014927385120715235,3.073968163767419e-10,8.116923404676142e+28,18924.125233084684,525740664123168.06,26738.23573090263,2738353171775683.0,44356.70276077162,4.178235583063569e+26,27838.49640927516,9.256266377137456e+26,1273.0,0.041387709664786665,9.659034376429455e-13,1.0039642978245487,0.007158361555973675,0.23032859225372318,0.7625130461903031,2.3342325910898437e-07,0.6673523781750664,9580149.03080024,0.009829041093450333,0.03155866857133633,0.04155178287217383,defect,metal_limited/lattice_limited,defects
2.691086091638793e-07,63198.22156034171,0.09420204883659299,18987.9601282563,5.589297571556366e-20,70087.03578908116,0.23602263139083485,149998.8419403026,0.004108983265385173,6.611085079973678e-06,4778309.053907018,0.1799551607759728,0.07676486308994922,0.26109198878039624,0.0653943894455726,62.6521019249487,0.0003480329132153615,9.804966991150506e-10,9.822944407954672e+28,18246.192822771834,358335732010262.6,25627.61805464093,5.5049380932502904e+16,49425.61008387645,7.604078263219075e+26,25604.994414976987,1.491685713155055e+27,1273.0,0.009258927193163437,1.48500074254058e-12,1.0021237278321267,0.004140955459686107,0.4769871285436939,0.51887191599662,1.7205394854223127e-07,0.5008589830399356,4737183.279663699,0.004454729900373518,0.0048041972927899195,0.009278590634539192,defect,metal_limited/lattice_limited,defects
3.8561561919178004e-07,60278.76708988735,0.03360723796233223,12724.965629288195,1.0359853933372476e-20,70059.90061739962,0.3842892236165136,152332.44556994684,0.0008062324445045307,8.006974098346031e-06,7031261.548882688,0.1088326248250831,0.21718071363186736,0.24878621597169503,0.22305769543401902,95.55106221214974,0.00045436596908546214,4.661064417830672e-10,1.0255996752734375e+29,24236.738277973367,703111277646500.1,29663.631306406754,4.258234683741216e+16,35864.33937838565,9.21819978022586e+26,31346.315073080805,1.3601439422387845e+27,1273.0,0.03643814150343841,5.442791905349068e-13,1.0184963499872914,0.031113542112783978,0.3854653193649656,0.5834211385222504,3.196532070933556e-07,0.6567507131401712,6506108.996659764,0.015179359501867502,0.021258782001570904,0.037112114121572455,defect,metal_limited/lattice_limited,defects
4.233399313017505e-07,66924.64187668101,0.04474846567924616,11747.922578531605,4.598482413503051e-20,70362.66551329094,0.35923410309846004,124264.60340228422,0.000862135792103271,3.35022314559658e-06,7034682.490451227,0.1565511008674444,0.05421271800230934,0.17289502437547255,0.3633760026253776,30.097702980171416,0.00022413597356209933,9.233741605393214e-10,1.0723976797611423e+29,16874.64169411698,565557991138069.2,29625.382907424082,1875515417438852.0,39867.142461735624,5.498434301621575e+27,36737.31738163675,1.8332963197932354e+27,1273.0,0.020659605612108042,2.1780747445494315e-13,1.0147600572094218,0.027384634231050448,0.5838835002805284,0.3887318654884212,1.455299252154491e-07,0.2654544615227745,6719530.765608726,0.01262855858225823,0.008031047029849815,0.020964542572866847,metal,metal_limited/traps_defect_limited,intact_oxide
9.58504511803761e-09,78121.31661517959,0.04405275840391054,17675.44653410314,4.4691868698154166e-20,69564.08354449988,0.24328632970673097,160839.55769875925,0.0005558058486664257,2.796480898217634e-06,4861414.330447371,0.18523204279403904,0.28965051057478114,0.09973760846894594,0.26952105774895924,5.437610253762526,0.00023680920788594705,8.390585856374771e-10,9.60508206777093e+28,22346.207169076253,356638245746530.8,26098.01014262338,1.856426068281966e+16,49519.81008144449,2.6034319965057866e+27,20961.484764814355,1.8116973506911419e+27,1273.0,0.0005981272685741899,2.8637064820145006e-12,1.0000307515658147,5.013478025355619e-05,0.4253177148712552,0.5746321503484912,3.196857260528972e-09,0.2466450797298425,4860841.353577168,0.0002544241100513336,0.00034370315852285624,0.000598145661924255,defect,metal_limited/traps_defect_limited,defects
5.6194386098500566e-08,77165.601649698,0.024466200214743227,11509.113132298107,2.5047823151473416e-20,70046.48174706683,0.2296391823866153,165496.54540085827,0.0036389638641348525,3.866768238865458e-06,1031862.9795460546,0.12361577654306709,0.10694953482260502,0.05414227686365179,0.36770026830926433,16.723543487084903,0.00020459569008152623,3.4228033340372466e-10,1.1687113283074463e+29,22447.00202144611,739480315695728.2,29717.154937299445,2.870355959358636e+16,43330.68980954468,4.6414593038805056e+27,20404.738842550545,1.6595893435543054e+27,1273.0,0.00015532863796814016,2.3707573650222498e-12,1.0000926504648264,0.00017486154607065978,0.715096375589797,0.2847287628641324,2.175625989844899e-08,0.2873677254976149,1031610.7211766855,0.0001111021070421009,4.422653092603925e-05,0.00015534302923864878,metal,metal_limited/traps_defect_limited,intact_oxide
1.7446846388133856e-07,71491.99045217197,0.006853143238833965,7261.9498756461935,7.702227848573411e-20,69225.66890035338,0.39480134484120766,72638.94204779086,0.0023511262534901814,7.087238995086101e-06,4579635.235147618,0.2706576319035135,0.1773746442966052,0.21080081278733093,0.11824602979008679,26.142235683185245,0.00041310184233655486,6.386493925659671e-10,9.918212499958252e+28,22883.248409037868,205806906330735.66,29740.497882914537,4.140047236040869e+16,42490.05953596098,6.312255435671663e+27,27583.78000874311,1.4133014861271923e+27,1273.0,0.00030680458423222216,4.708201434312464e-15,1.0189170070709637,0.03223198163850928,0.2979880634027537,0.669779954958737,4.8729132267080634e-08,0.2119027029358673,4132628.092404653,0.00010131302362403035,0.0002054915606081918,0.0003126084087215472,defect,metal_limited/traps_defect_limited,defects
9.292901755352268e-08,67298.5887402502,0.05862756392027437,45312.74744821969,4.961701926951755e-20,69790.28859917901,0.16179802414436528,84723.59849101963,0.001802619050575055,1.6440912995748007e-06,2750648.35559369,0.1536930404113207,0.1598525971499689,0.2735932911236406,0.3573048331870112,71.32859429225027,0.00023350648027523128,5.831672442764721e-10,1.0074327119518613e+29,17062.717663114207,380276677999552.0,25442.683904954105,5.943149519026285e+16,45226.27881388931,7.812229449569125e+26,35015.37411371272,1.2771458427234963e+26,1273.0,0.004102793326048827,3.6076217634269196e-15,1.1863752408297508,0.17997912124591217,0.15064796462618338,0.6693729141279045,7.574769863807888e-08,0.6285180000729522,1253314.062517105,0.0013564946013270057,0.002746298724721821,0.004867452420265871,defect,transition,defects
