D_ref,E_D,K_s_ref,H_s,D_ox_ref,E_D_ox,K_ox_ref,H_sol_ox,metal_thickness,oxide_thickness,P_upstream,f_pinhole,f_crack,f_gb_defect,crack_thickness_factor,gb_diffusivity_factor,grain_size,gb_thickness,lattice_density,trap_dislocation_E_b,trap_dislocation_N_T,trap_gb_E_b,trap_gb_N_T,trap_vacancy_E_b,trap_vacancy_N_T,trap_carbide_E_b,trap_carbide_N_T,temperature,flux,permeability,PRF,frac_oxide,frac_metal,frac_defect,D_eff,D_modification,P_interface,flux_intact,flux_defect,flux_bare_metal,regime,regime_hierarchy,dominant_path
4.2443367890759384e-07,78861.12349831454,0.0646017138481438,20382.232420198856,3.426294326333381e-20,70972.4136514883,0.2693996071963874,152053.87071111676,0.00023451352833751078,7.2962615750741365e-06,9936274.277321616,1.5706686532740475e-06,6.297787149309299e-06,6.769671323553284e-06,0.48435297476134437,93.14025025769183,0.0002101735590791325,5.095440522364955e-10,8.681679635421893e+28,18808.83607511921,82887190082450.75,27288.12509132267,2.903317276557713e+16,40262.55500982341,4.501588733368678e+27,33752.473085589736,9.670043735610896e+26,1073.0,0.012267008144551065,2.6207027575918142e-14,1.2343816535940195,0.3436995362871978,0.6562831715031573,1.729220964496914e-05,2.3078115335043035e-08,0.16079106853537597,6521122.360260846,0.012266796020874512,2.121236765521209e-07,0.015142169798122248,metal,transition,intact_oxide
3.6893038710150566e-07,61087.67385875981,0.021018991513434417,39690.91540546525,6.076873944252834e-20,69204.65273361499,0.12472026990826358,137848.16282437294,0.00032719529015266417,6.679924696537674e-06,7839550.514365284,6.309557286094894e-06,9.999620415972474e-06,1.837584491724149e-06,0.26663465469440917,89.94170145545468,0.0004760839535817798,4.775005078167689e-10,8.554063290784151e+28,21508.6043520893,50774005248345.13,25227.01365424321,8716744222471487.0,44220.20489470463,8.720633127443172e+27,38323.50128773022,2.1816904242422373e+26,1073.0,0.000996473428986504,7.423511478329586e-15,1.0626085398473586,0.11436732617344238,0.8856135630043528,1.9110822204886116e-05,1.0159652787153134e-08,0.06377969997666134,6942944.948766139,0.0009964543855599708,1.9043426533254288e-08,0.0010588611753720395,metal,metal_limited/traps_defect_limited,intact_oxide
2.8097846430418653e-07,69677.29156420274,0.06281053896508368,45237.67838709195,6.683384475024081e-20,70681.68136854151,0.27344032942895313,51503.335131732616,0.0004746251758138366,7.510528485213228e-06,8573472.051661227,1.9045094008960621e-06,7.846795790482819e-06,8.75897894278459e-06,0.218128010586907,67.51670034636577,2.907648596876215e-05,3.6743228719671645e-10,8.460237580615105e+28,18403.34445449034,400861843384896.9,27887.762849386814,5.49235558420983e+16,42057.248600337894,8.604294759621656e+27,28095.350690657255,4.638764390186915e+26,1073.0,7.147560130685949e-05,6.26974515820851e-17,25.166495980564648,0.9981562849438055,0.0015776982366334374,0.0002660168195610559,8.646290848047805e-09,0.08020335533377583,13529.95093224753,7.145658759472363e-05,1.9013712135864814e-08,0.0017987904329975206,oxide,oxide_limited/regime_intact_oxide,intact_oxide
3.442627485005134e-07,63686.452523079635,0.04891917757470929,1865.9702967605897,5.977518075532138e-20,69234.72060994378,0.13402048982483086,81915.67776268168,0.00025633285082830246,9.475631249596592e-06,5438897.272714887,2.991801133335631e-06,4.786357391402132e-06,3.1606679863476013e-06,0.030358893161997996,29.14527978617429,0.0001508814203327321,6.054986938821933e-10,1.1313576275477088e+29,18031.087625466942,765583654796963.2,28694.909146946837,1.0039054497156714e+16,40156.86897382005,6.692148381102929e+27,34096.011784631875,1.285056601843854e+27,1073.0,0.00010869995390274528,1.8931656166172794e-16,83.55240586463881,0.9993853264646468,0.0001430464096104823,0.00047162712574268294,2.0936280256675e-08,0.14597368021857968,778.3818330889964,0.00010864868805591776,5.126584682751389e-08,0.009082142665949703,oxide,oxide_limited/regime_intact_oxide,intact_oxide
1.390705550932042e-07,68127.11191592347,0.03887958970424214,33870.82333151507,6.612451004525826e-20,70964.36769627532,0.30051982571463376,133446.33562526634,9.587436832410392e-05,2.52352199306871e-06,596962.8535699282,4.81317246204839e-06,7.2064631930409135e-06,7.732757459069708e-06,0.29152860138662506,19.71767650335274,0.00048476509651270463,7.703366654714055e-10,1.0846102868712691e+29,20072.781893343243,483649693629496.56,29730.35924379956,8902032969547646.0,43223.204449740224,8.949220601244784e+27,22976.304392906946,1.4437681550558617e+27,1073.0,0.0008162413385019496,1.632085101808019e-14,1.1260724129925437,0.2113795483711877,0.7885985380873519,2.1913541460466543e-05,4.673381056825282e-09,0.08573847976729541,470774.34995093546,0.0008162234517635366,1.7886738413009178e-08,0.0009191468536311541,metal,transition,intact_oxide
2.3800827573033744e-07,78173.5811206344,0.057470709739987164,16078.377836435473,7.145435376723712e-20,69133.84337145796,0.20490507978836237,86373.78790278223,0.00023548687592462548,2.7876493648212485e-07,2076241.6652272244,3.7999821440483563e-06,6.062722920686578e-06,8.971725633593356e-06,0.40692072865434115,50.76154197405082,0.00016886056506016346,9.885564732786424e-10,1.035544776108416e+29,23625.094784990717,481897038339101.6,27555.530435436893,1.4120728949402134e+16,40002.71266734373,6.495417626617114e+27,31781.51903756599,4.8464513425937785e+26,1073.0,0.002116393078067686,4.625439741648466e-16,1.6102220154525229,0.6143087258196448,0.3856628556974692,2.8418482886059123e-05,1.2088309787992191e-08,0.14877833706628904,800752.0458879122,0.0021163329333872168,6.014468046924052e-08,0.0034078627276559175,oxide,transition,intact_oxide
5.1888397486284446e-08,62478.00582289351,0.0972362151009409,33537.902130257804,4.679030878106541e-20,70435.99459809571,0.32140897637106064,114325.30350137792,0.000160719715233254,1.5792888442421934e-06,4066383.030632187,2.2316407804376916e-06,5.973346763869741e-06,3.341541595187645e-06,0.1121639300343167,54.32846876063429,2.1210928476939266e-05,9.961657700328906e-10,1.016691114557421e+29,18433.380686903307,432564916708878.4,28779.427741391715,2487669373888414.0,45453.4819480855,3.3559008800061766e+27,21463.05671783688,5.384519340441882e+26,1073.0,0.0022553567484594915,3.335999914625643e-15,1.1644933098025492,0.26256027973646445,0.7374264035945658,1.3316668969763171e-05,3.4138188723075273e-09,0.15531727962823375,2998698.1465876233,0.0022553267146202633,3.003383922795647e-08,0.0026263478447991085,metal,transition,intact_oxide
1.6696654560806352e-07,64568.40482471202,0.08819863177082468,33843.92432865827,4.905260508545966e-20,69704.93944131634,0.09776243621345815,28527.95970857727,0.00034052779133919987,4.754049663179257e-06,3753848.504438093,7.505823614705188e-06,8.178488627209085e-06,1.4331573058605712e-06,0.3079688923103127,53.550259351035166,0.00023822406959068889,6.664363289430334e-10,1.030839352982086e+29,18165.222215095062,568263095266600.4,29916.095053860627,2.0828821396910096e+16,41750.57216805174,5.847908971425918e+27,29009.63794946514,1.5456968046041865e+27,1073.0,2.655736851990954e-06,3.3356226177334838e-18,1087.0741880965081,0.9917375179252187,8.254443787335682e-07,0.008261656630402547,9.161678678054202e-09,0.13331428985490176,3.12440591540488,2.6337960660190985e-06,2.1940785971855453e-08,0.0028869829821760425,oxide,oxide_limited/regime_intact_oxide,intact_oxide
3.5018320492301e-07,77346.77743930771,0.06556917212286695,20443.323692407703,5.898605051085542e-20,70336.57986760802,0.11000901498398823,120500.55608484063,0.0004885361671252818,7.0436255653406395e-06,5355538.5154554825,7.007114341921542e-06,5.932924024637275e-07,8.549075171343894e-07,0.1931024620789505,93.43783089796389,1.2392973881887497e-05,9.539836383123207e-10,1.1587459578136595e+29,24773.00702985839,58334301943103.67,25869.467638739683,2.511469073167262e+16,42580.80142215663,2.6281180754578617e+27,25420.335764702308,7.428036284639892e+26,1073.0,0.0015686909444995378,2.157738417643212e-15,4.7743177794853535,0.9560941620274456,0.04386655364541947,3.928432713500377e-05,3.193810029862861e-08,0.2641454821838572,234938.246979289,0.0015686293195313003,6.162496823743788e-08,0.007489429066841816,oxide,oxide_limited/regime_intact_oxide,intact_oxide
2.042613364047797e-07,73312.90988945855,0.03146018404735222,29189.62244093546,4.573296304134818e-20,70250.09959193082,0.18105696552301467,141732.69142255443,0.000292028168018278,2.471332635364946e-06,5171604.605218845,1.1174647280600404e-07,8.498751677216126e-06,1.1363507553022485e-06,0.09730382987530346,64.58308589760608,8.750406152180799e-05,7.654033512052459e-10,8.79642716657471e+28,19096.554995151928,659905310052782.1,26260.50758230502,4.029460346395872e+16,43236.175996449005,9.404098245074624e+27,21935.80308802271,1.367478113337937e+27,1073.0,0.000812390923122957,1.1263262374037815e-14,1.017690230750949,0.03446325599831788,0.9655268397888159,9.904212866126278e-06,5.041034174381394e-09,0.06762030049223304,4993372.506538464,0.0008123828770303239,8.046092633118594e-09,0.0008267623060129785,metal,metal_limited/traps_defect_limited,intact_oxide
