D_ref,E_D,K_s_ref,H_s,D_ox_ref,E_D_ox,K_ox_ref,H_sol_ox,metal_thickness,oxide_thickness,P_upstream,f_pinhole,f_crack,f_gb_defect,crack_thickness_factor,gb_diffusivity_factor,grain_size,gb_thickness,lattice_density,trap_dislocation_E_b,trap_dislocation_N_T,trap_gb_E_b,trap_gb_N_T,trap_vacancy_E_b,trap_vacancy_N_T,trap_carbide_E_b,trap_carbide_N_T,temperature,flux,permeability,PRF,frac_oxide,frac_metal,frac_defect,D_eff,D_modification,P_interface,flux_intact,flux_defect,flux_bare_metal,regime,regime_hierarchy,dominant_path
2.0915984655949996e-07,73624.94260947475,0.04373359433552636,25683.494865912846,6.863611616899588e-17,70394.90630795927,0.19675127927915786,54151.800815376184,0.0019149531012515341,8.41342372227127e-06,6558609.691812688,0.0859458334613821,0.025495454533027196,0.028506286059523007,0.08607382662561158,94.31145692220038,0.0001490465569674603,4.6299682105384067e-10,9.206254642015825e+28,20528.870822348734,400328847760403.4,27305.88932899752,2896436385251757.0,46580.01114462036,6.171771543760129e+27,33499.94371298815,9.646040990850434e+25,1073.0,0.0002314902095209017,5.4207629695675185e-14,1.0023698042822533,0.004706459643251842,0.8550211862915822,0.14027235406516592,5.647433283281393e-09,0.07429841216595486,6522705.49357466,0.00019901853288836633,3.247167663253537e-05,0.00023203879601072405,metal,metal_limited/traps_defect_limited,intact_oxide
3.1063848721396354e-07,78142.97589500278,0.08142062685452627,40878.07830334185,1.915941412351084e-17,70430.01128702264,0.3766227674025243,35439.951771449574,0.0006333206194738461,7.372868774677909e-07,9529112.380938172,0.01726121360527822,0.04795596325669499,0.09718570134783348,0.11070521582844951,57.702937528750674,0.0003498450099805464,4.5644903587369753e-10,9.462670099033233e+28,16618.177699608317,117495845110902.0,27009.768324003544,4.634568698150748e+16,49924.63426766671,1.5355408044212535e+27,28432.93375040425,3.1739024531953244e+26,1073.0,0.004326090132780827,8.34841469208713e-15,1.0173463575600932,0.03336808881581672,0.8015569003421423,0.16507501084204093,1.9453871278845048e-08,0.18337250250526227,9148277.848025555,0.003611960757208385,0.0007141293755724413,0.004401132039061234,metal,metal_limited/traps_defect_limited,intact_oxide
3.9025413029901527e-07,63272.14136755141,0.03167035602980822,23786.78681847685,6.607837963408651e-17,70844.21756462922,0.12084160631084898,109092.07856270744,0.0006015869882195206,3.9734569585306764e-08,1456850.5220899875,0.09841719184593084,0.04153871186404548,0.013856554229295836,0.4608293626599569,14.693221690251814,0.00010890320337110392,5.468184102409905e-10,8.776467321082379e+28,22735.86779811643,811553197021400.0,26618.64736434984,2.5893351714098764e+16,36220.0980357719,1.1681436742650993e+27,24969.16508475959,7.747044007776541e+26,1073.0,0.003909038739905315,1.283507993536896e-12,1.000035957192031,7.024259296462937e-05,0.846112602512849,0.15381715489418632,8.532022023411741e-08,0.5217899589232509,1456729.5872839638,0.0033077615225619245,0.0006012772173433908,0.003909179297961942,metal,metal_limited/lattice_limited,intact_oxide
2.2846741682231558e-07,74451.24463802352,0.05207693538369378,42826.219561780534,7.190750568163653e-17,70787.73261715013,0.24547859266959005,57336.870775492935,0.0018622373273376252,4.075578415462117e-06,3397539.964913132,0.02691568637232955,0.04732742308920421,0.08036331075220265,0.026036437311456745,19.665781646510332,0.0002044446301517678,4.4347395315279775e-10,1.0079881100727056e+29,22638.14020983773,430129473883195.5,26867.778796757568,3.55028671101679e+16,49662.15808725418,1.8859977357267798e+27,34969.627626561305,1.3863125934822465e+27,1073.0,0.00035574192849040166,8.993540945482102e-14,1.0020235587052178,0.004007476778603274,0.841085913503668,0.15490660971772877,1.246037555825163e-08,0.1517914679227465,3381428.6538197887,0.00030063515241350683,5.510677607689482e-05,0.0003564617931666094,metal,metal_limited/traps_defect_limited,intact_oxide
3.711063966302451e-07,60043.88534947105,0.051450358979927016,27652.411091836442,7.272653800457372e-17,70406.90506195585,0.35595865703641294,65907.13205235143,0.004633180405107641,1.044765025230927e-06,3039977.4690670995,0.031072091625809286,0.05528877482991546,0.017853258415646854,0.05500828954031559,87.3355848380532,0.00027117584876981535,5.305001757131526e-10,1.024264453828992e+29,15372.92710002181,784446517621002.9,25357.654060541878,2.5521478920476336e+16,45853.35611147981,6.364035301506556e+27,39064.53852273352,4.925365536690952e+26,1073.0,0.0001794551468473597,2.2755984528072847e-13,1.0001217931149027,0.00024265744001274701,0.8955309648615563,0.10422637769843104,1.3557326271108236e-08,0.08340484712110385,3039153.9650790663,0.00016075118693211938,1.870395991524032e-05,0.00017947700324867958,metal,metal_limited/traps_defect_limited,intact_oxide
4.168872333964661e-07,62357.77929105979,0.02102091710349329,46709.03678552976,6.698329771243673e-17,69052.01564640357,0.2019014497983918,164342.37809283484,0.0037178637220795486,6.607871256765116e-07,3526821.9572366667,0.09267422479410539,0.06100878195364012,0.0664842779098228,0.14135664541074586,43.25224994543921,0.00030000700096795925,9.540967286985243e-10,1.0291398899196284e+29,24716.849398820217,345297855621677.75,29997.09951331491,3.2319643377238508e+16,48155.87091594603,4.258952675932334e+27,22207.577520247076,1.035913475661509e+27,1073.0,9.626364283790554e-05,5.464579930815579e-11,1.00000018662937,1.8358239997845302e-07,0.7798324935733864,0.2201673228442137,1.723086684708908e-08,0.09741374267429888,3526821.1269785124,7.506953430705232e-05,2.119410853085323e-05,9.626366080352856e-05,metal,metal_limited/traps_defect_limited,intact_oxide
1.216658479869026e-07,69837.78705050795,0.09025252746859279,29328.25642131147,5.128331672402642e-17,69849.51735651254,0.24251570992807464,50654.825800625054,0.003536671743290063,9.446924036138202e-06,7728897.544376404,0.0208682008978291,0.051185805088089335,0.08933591985041422,0.12213057299337786,66.94340784296669,0.00019469241331834084,8.020844525152766e-10,8.39911814738851e+28,17770.683660084178,464160801517267.44,27057.53259311881,3.236059567032428e+16,39484.164910846965,4.4092533317580386e+27,31705.765098316893,8.297812822372399e+26,1073.0,0.0003830983507685569,3.814549870519844e-14,1.0052317678387315,0.010274007917787407,0.8275387415576969,0.1621872505245156,8.123983003102334e-09,0.17441922475683833,7634118.902470556,0.0003209646825769282,6.213366819162869e-05,0.00038510263239917894,metal,metal_limited/traps_defect_limited,intact_oxide
4.018021015322772e-07,60188.16672957541,0.06183404468331048,6311.46213104301,1.158622807291977e-17,70760.6468014596,0.25252697532502966,60739.93572026022,0.0022636033588651254,6.250193230691686e-06,2090081.7696419477,0.028234809594662957,0.07318164600953526,0.008170607409503795,0.40564326925141103,21.024369358329448,0.0002749238261330277,4.537870163187937e-10,1.1335312641242932e+29,19681.666934684767,257241308272120.0,26363.450703790015,4.05032448274994e+16,44041.49482733149,4.4158937561465985e+27,23815.028912798098,1.288461128459179e+27,1073.0,0.0008988131172920989,1.867148571178038e-14,1.0734561603337258,0.1265705039798421,0.7582482583047375,0.1151812377154203,2.6645864949448395e-08,0.15170321692885455,1791102.2336976386,0.0007952867099675397,0.0001035264073245592,0.0009648364777459633,metal,metal_limited/traps_defect_limited,intact_oxide
2.1821001050123564e-07,75516.94726832953,0.0009662563565648451,48917.46559258622,6.032408248274463e-17,69350.10525575455,0.13652063451202787,78120.60108775378,0.0033523475942927603,2.0114958953719357e-06,2859862.0307336533,0.08461492032706738,0.020139137867969826,0.06585628636525837,0.22522573173849222,55.93450752692792,0.00044454188867938416,6.822187169954498e-10,8.208626512761886e+28,17599.069956305993,46349322495916.79,26926.743491121568,4.446167870043573e+16,39586.3088640392,5.854732934533659e+27,23656.87507721052,6.547840637793518e+26,1073.0,2.690670058141725e-06,1.4807691901706198e-13,1.0000051957152039,1.0305701076033707e-05,0.8293785061188517,0.1706111881800723,1.081503299792359e-08,0.13997706278949415,2859826.495068369,2.231611642521621e-06,4.590584156201039e-07,2.690684038097055e-06,metal,metal_limited/traps_defect_limited,intact_oxide
4.874654964277442e-09,67463.0980196108,0.039380818726905256,10623.711445274408,2.0546204172858847e-17,69141.17469706824,0.10336526952889971,86772.8345649939,0.0014507468490336667,8.141153926377738e-06,7531898.179456853,0.033821230039670046,0.0665916984007498,0.016336720457634766,0.27345169123370483,43.85550634732239,0.00029259020889761596,9.043144351012387e-10,9.561191735074559e+28,17994.739598820033,613873457612196.4,25195.4314951023,3.4720427966146788e+16,36099.66164352364,5.0359008257341e+27,27278.42825974475,1.9747201976650824e+27,1073.0,2.787336051689665e-05,6.861355656050512e-14,1.0001971308418527,0.00038601074240727763,0.8828453875727227,0.11676860168487005,4.330745549273227e-10,0.22461243860985597,7528606.410602695,2.461862718508036e-05,3.2547333318162884e-06,2.7878855215920606e-05,metal,metal_limited/traps_defect_limited,intact_oxide
7.376404606338342e-09,68997.49079829743,0.036039873842491285,28241.991944878228,7.048582857568047e-17,70480.42614693145,0.11489214475379247,57993.428889730494,0.002710145423525074,4.18837461764655e-06,2215617.87214387,0.0560624859672579,0.046214041893777855,0.04462819241111832,0.2737231222299271,17.481072938058084,9.616396413004276e-05,9.285249456937e-10,9.060830620103798e+28,15512.502728324216,120011451770969.31,27843.0349675563,5.2228303219559e+16,48395.062932562694,3.2084811449441686e+27,30109.813903506365,1.302439203723245e+26,1073.0,4.224547622069135e-06,4.2011733132510816e-14,1.0000820865065574,0.00016127557860429873,0.8529233825349883,0.14691534188640729,3.147079441052647e-10,0.11016399800017672,2215199.009782559,3.603896763857439e-06,6.206508582116959e-07,4.224894400425216e-06,metal,metal_limited/traps_defect_limited,intact_oxide
1.4856435565349291e-10,68553.16437337082,0.06297462635101275,36299.85724489204,7.053625842634651e-17,69167.32230342213,0.3117845696205398,161570.3768701509,0.0037687989696088523,6.848158358043955e-06,400238.2300982201,0.07781666672638449,0.07518215532577442,0.04947325227928598,0.3883519639329107,59.06864309652228,0.00023153064807706643,3.197535634584022e-10,1.1824226032797234e+29,21283.89414341117,701309948311454.8,26070.93862527847,2315184063042060.0,42603.77534171938,4.2730444633236734e+27,26488.968685126136,8.013805243959505e+26,1073.0,6.857455189798317e-08,4.0692112518088835e-13,1.0000000509757065,8.965264519621761e-09,0.7975279347386517,0.20247205629608375,1.0685225544252199e-11,0.1845834492118107,400238.22559901525,5.4690121365616005e-08,1.3884430532367166e-08,6.85745553936194e-08,metal,metal_limited/traps_defect_limited,intact_oxide
