D_ref,E_D,K_s_ref,H_s,D_ox_ref,E_D_ox,K_ox_ref,H_sol_ox,metal_thickness,oxide_thickness,P_upstream,f_pinhole,f_crack,f_gb_defect,crack_thickness_factor,gb_diffusivity_factor,grain_size,gb_thickness,lattice_density,trap_dislocation_E_b,trap_dislocation_N_T,trap_gb_E_b,trap_gb_N_T,trap_vacancy_E_b,trap_vacancy_N_T,trap_carbide_E_b,trap_carbide_N_T,temperature,flux,permeability,PRF,frac_oxide,frac_metal,frac_defect,D_eff,D_modification,P_interface,flux_intact,flux_defect,flux_bare_metal,regime,regime_hierarchy,dominant_path
7.484738920135809e-08,70150.20966133462,0.06594746180596471,45266.735688854984,3.34907450565228e-20,69004.55385369761,0.23988763647337913,115801.68255414291,0.00027658926158089306,6.136769590430314e-06,7354280.574349087,2.734017727661833e-06,4.159868391785176e-06,6.048194293146886e-06,0.2401784482448192,38.45979787125041,0.00013520681132907024,8.662254077438964e-10,1.1624843194538893e+29,22204.02944608467,525401841197530.94,27097.527384186396,2.0582188162500304e+16,49980.07168707564,2.511156782935206e+27,31330.315327410823,2.2913682372446028e+26,773.0,5.529549082881397e-07,5.762115137047454e-19,2.240266316013131,0.8007329387938587,0.19924017366805802,2.6887538083280405e-05,2.5579624224142555e-11,0.018965832236858673,1465307.537349151,5.529400406919847e-07,1.486759615493418e-11,1.2387662553120493e-06,oxide,transition,intact_oxide
7.717078180297085e-08,65963.60439569317,0.08900009908503735,34532.98179760036,4.3275880670601153e-20,70308.36005726499,0.3871182368404474,77569.76388259974,0.00010216073381850973,7.294370678977519e-06,9114822.84419014,8.924257221591558e-06,5.594209501275598e-06,7.795957961089923e-06,0.3788270311743226,84.4276258487276,8.21499295331261e-05,5.822347247327333e-10,8.552019594029375e+28,24231.95880841926,24253507702604.844,25962.894117842417,1372066640017282.5,41762.48627807845,7.59764070975404e+27,31072.818927321507,1.2279953779330106e+27,773.0,6.370746253171388e-07,5.116142295108394e-19,16.365769300455298,0.9959929740024612,0.0037306664236387527,0.0002763595739000838,2.862817591082451e-11,0.01619933033871972,34013.76357144394,6.368985636451437e-07,1.7606167199520005e-10,1.0426216345114293e-05,oxide,oxide_limited/regime_intact_oxide,intact_oxide
2.8646338005883297e-07,78100.46244790862,0.01689086215984083,26246.241619246117,6.279497218191167e-20,69996.53421724334,0.21529680178574268,31362.360042983597,0.0003640472267563889,9.904171967735606e-06,2791172.4901114614,8.193823553482204e-06,9.624879851489366e-06,2.4251583855076796e-06,0.4600416569478011,97.3112836181553,0.0002731242475533102,9.406990657229713e-10,1.1552475640031892e+29,16727.616589131496,270298927050843.8,27095.89693380789,2.3530384675043748e+16,45767.84232879111,2.8493332366303637e+27,25904.883778911044,7.365724462948407e+26,773.0,3.968815064988577e-08,1.4083591880737608e-19,44.63553025213131,0.9990259241157861,0.0005012333767604614,0.00047284250745348186,1.0269646511538526e-10,0.031363199129779806,1399.690645574162,3.9669384405216286e-08,1.8766244669483524e-11,1.7715016489841214e-06,oxide,oxide_limited/regime_intact_oxide,intact_oxide
3.466445988997977e-07,74434.44271082515,0.07649120357167047,26357.829106523903,1.3153193079166436e-20,70672.94859415552,0.2568069647063653,73832.50057895156,0.0002602500000030801,1.293316039757968e-06,690427.7593778861,5.4465989224528185e-06,6.409805141334309e-06,4.427354438453961e-06,0.3557734563957155,83.76570122482688,0.00037450235679915785,7.570078428653006e-10,8.785312541973907e+28,24978.972323090224,37800548406453.586,26325.679526029988,5.934941279747384e+16,43431.70783938194,4.509979781764112e+25,33143.40203008073,4.03073523048939e+26,773.0,5.159906128122593e-08,9.541715164929306e-20,2285.5673381086185,0.9871678320048606,1.8416170607195497e-07,0.012831983833433269,2.1838956372048276e-09,0.4468146782596592,0.1288031540781749,5.093694296104491e-08,6.621183201810237e-10,0.00011793312914143504,oxide,oxide_limited/regime_intact_oxide,intact_oxide
2.2325561757518446e-07,62393.42914178249,0.014151927311133192,30797.19914868912,7.589527802791584e-20,69162.22491205575,0.08463931056178438,148742.18736505296,5.427841700223167e-05,8.221581136570358e-06,7023115.274643554,4.763449262620078e-06,1.1811923653001507e-06,4.435516500407946e-06,0.3088372999831103,5.671200645818298,0.0003396909260373008,4.904944495161314e-10,9.148857094895307e+28,23140.7535608428,391159996537703.75,27686.93136047573,2550124956727925.0,47206.63763232695,6.311336252382426e+27,37672.16295148815,1.1004043169578916e+27,773.0,8.32674830383601e-07,9.903206741218214e-19,7.9649698391673915,0.9841799108237314,0.015760237690609843,5.985148565875164e-05,5.597127469698738e-11,0.008923767251906802,110692.59117296789,8.326249935579318e-07,4.983682566910754e-11,6.632229909839205e-06,oxide,oxide_limited/regime_intact_oxide,intact_oxide
4.2631886244260777e-07,69100.50031830816,0.03260648760576169,41580.41748543313,6.623762623507796e-20,69582.5567010783,0.29349847452592903,109408.20773599614,0.00028081315072946074,1.2777516642478108e-06,4627117.800992585,1.8334678796693406e-06,9.906442175840833e-06,4.814724571087118e-06,0.2944799659536812,42.434085432337774,0.00019533040819471248,3.005379401630769e-10,9.95129795101569e+28,18247.761035475956,215740888838185.47,29803.6481380955,5896271265044756.0,36462.656282639226,4.4013688339063195e+27,26415.973460367433,5.634285445351603e+26,773.0,4.010244857471764e-06,1.2188998247492576e-18,3.305893055974723,0.9084656794389061,0.09149156954473818,4.275101635573994e-05,5.738479062591417e-10,0.07034222283580485,423360.3691672757,4.0100734154282715e-06,1.7144204349229737e-10,1.3257440627074246e-05,oxide,transition,intact_oxide
5.462871539261756e-08,62311.544971680865,0.03594093194270485,17438.26404603609,1.721427459877264e-20,70164.41054694062,0.31542837834426013,164779.8503025477,0.00011308868312941928,3.98749561232466e-06,7799033.846641647,9.736098166708016e-06,1.7765770352870356e-06,9.931067622877318e-06,0.05527304403938677,15.79603394078854,0.00013360945389644403,9.033792969142519e-10,1.140456979583971e+29,15416.680348108506,312269674713257.75,26122.78152124312,7203410554744250.0,36050.80938049154,4.4501570913978447e+27,39126.143011255226,1.4870622015069515e+27,773.0,2.4115432196645146e-06,1.2413074971423459e-18,12.031297681095099,0.9928806628213861,0.006904199821713453,0.00021513735690052976,8.871800564257924e-11,0.057536070840414996,53857.67489134533,2.4110244066301846e-06,5.188130343300173e-10,2.9013994346610284e-05,oxide,oxide_limited/regime_intact_oxide,intact_oxide
2.95003543606073e-07,66724.41848611286,0.030424963937204817,17527.97383209902,1.2972949118407792e-20,69220.55634349445,0.09802896870437625,39246.01680833787,7.910739796552268e-05,6.499359673180073e-06,9686485.166734513,3.156544594596511e-06,6.729353938080483e-06,9.369667472457306e-06,0.1087650642665184,66.65968904551004,0.0003757432833602047,8.19438376096197e-10,9.97706829500148e+28,23276.782451807652,804134542970620.2,25414.64951280519,3.466662711051203e+16,44453.16728787222,2.5319218383990597e+27,23012.752651621948,1.1556006603362103e+27,773.0,2.3617746756181462e-08,1.5613955714836634e-20,4447.60242250791,0.9852846692363031,4.835596449672375e-08,0.014715282407732446,2.393832567751793e-10,0.037011793792182605,0.47539490200431167,2.3270204942829946e-08,3.475418133515171e-10,0.000105042347686971,oxide,oxide_limited/regime_intact_oxide,intact_oxide
1.412657436179432e-07,69998.90739938867,0.007521669291677568,25719.786257178046,7.522606827630978e-20,70898.37224159249,0.08210955705572001,42738.34868201624,0.00038696117355092223,4.985461044878815e-06,7269201.205802772,4.309145853107921e-06,7.939470319057242e-06,8.285057065371537e-06,0.033739512301593076,53.06638147543612,0.00023186798073554626,7.077072280404288e-10,1.0373274943458829e+29,20267.666984482308,472002916453832.1,25686.9727689355,1.7486723702164034e+16,41121.27159624157,3.3368002622180576e+27,22216.539184605084,5.9866540156575755e+25,773.0,1.2381254840285864e-07,8.546641443296465e-20,12.255115664426876,0.9931231408813981,0.006654153494372562,0.00022270562422929373,1.2624179724994135e-10,0.049165294453721343,48381.155360295816,1.2378497465197916e-07,2.7573750879478278e-11,1.5173371013844836e-06,oxide,oxide_limited/regime_intact_oxide,intact_oxide
1.7974565070296924e-07,68991.86813207075,0.08712897482919892,40505.92120582145,4.347166749442644e-20,69644.60147292989,0.23753930375541304,99325.84377773161,0.00025667003717270265,6.604202942057711e-06,4042669.5573881418,8.915812985365435e-06,5.357438003221534e-06,4.604467880518568e-06,0.18679643109527086,17.04567667714991,0.00013347731144059254,7.382854940458714e-10,1.0065098403577597e+29,15539.352121249925,460530615147766.9,25707.68098691423,4.5931731868199576e+16,49021.146713263624,1.9510920528070662e+27,35893.96642813548,8.827675900149585e+26,773.0,3.1336674074843496e-07,5.135520892957655e-19,17.19450081485246,0.9963913024011878,0.003380177322306374,0.00022852027650590993,8.025701507218707e-11,0.023188750928905814,13668.063389086446,3.132951300941914e-07,7.161065424358815e-11,5.388184679146624e-06,oxide,oxide_limited/regime_intact_oxide,intact_oxide
