3.500000 2.000000 4.500000 Ni
4.500000 2.000000 4.500000 Ni
0.500000 3.000000 4.500000 Ni
1.500000 3.000000 4.500000 Fe
2.500000 3.000000 4.500000 Cr
3.500000 3.000000 4.500000 Ni
4.500000 3.000000 4.500000 Cr
0.500000 4.000000 4.500000 Ni
1.500000 4.000000 4.500000 Ni
2.500000 4.000000 4.500000 Ni
3.500000 4.000000 4.500000 Ni
4.500000 4.000000 4.500000 Ni
0.500000 0.500000 5.000000 Ni
1.500000 0.500000 5.000000 Cr
2.500000 0.500000 5.000000 Ni
3.500000 0.500000 5.000000 Cr
4.500000 0.500000 5.000000 C
0.500000 1.500000 5.000000 Mo
1.500000 1.500000 5.000000 Ni
2.500000 1.500000 5.000000 Ni
3.500000 1.500000 5.000000 Ni
4.500000 1.500000 5.000000 Ni
0.500000 2.500000 5.000000 Ni
1.500000 2.500000 5.000000 Mo
2.500000 2.500000 5.000000 Ni
3.500000 2.500000 5.000000 Ni
4.500000 2.500000 5.000000 B
0.500000 3.500000 5.000000 Al
1.500000 3.500000 5.000000 Fe
2.500000 3.500000 5.000000 Ni
3.500000 3.500000 5.000000 Ni
4.500000 3.500000 5.000000 Ni
0.500000 4.500000 5.000000 Ni
1.500000 4.500000 5.000000 Mo
2.500000 4.500000 5.000000 Ni
3.500000 4.500000 5.000000 Ni
4.500000 4.500000 5.000000 Ni
0.500000 0.500000 1.000000 Ni
1.500000 0.500000 1.000000 Ni
2.500000 0.500000 1.000000 B
3.500000 0.500000 1.000000 Cr
4.500000 0.500000 1.000000 Ni
0.500000 1.500000 1.000000 Ni
1.500000 1.500000 1.000000 Ni
2.500000 1.500000 1.000000 Ni
3.500000 1.500000 1.000000 Cr
4.500000 1.500000 1.000000 Ni
0.500000 2.500000 1.000000 Ni
1.500000 2.500000 1.000000 Ni
2.500000 2.500000 1.000000 Ni
3.500000 2.500000 1.000000 Ni
4.500000 2.500000 1.000000 Ni
0.500000 3.500000 1.000000 Ni
1.500000 3.500000 1.000000 Ni
2.500000 3.500000 1.000000 Ni
3.500000 3.500000 1.000000 Mo
4.500000 3.500000 1.000000 Mo
0.500000 4.500000 1.000000 Ni
1.500000 4.500000 1.000000 Ni
2.500000 4.500000 1.000000 Ni
3.500000 4.500000 1.000000 Ni
4.500000 4.500000 1.000000 Ni
0.500000 0.500000 2.000000 Ni
1.500000 0.500000 2.000000 Ni
2.500000 0.500000 2.000000 C
3.500000 0.500000 2.000000 Ni
4.500000 0.500000 2.000000 Ni
0.500000 1.500000 2.000000 Ni
1.500000 1.500000 2.000000 Ni
2.500000 1.500000 2.000000 Ni
3.500000 1.500000 2.000000 Ni
4.500000 1.500000 2.000000 Ni
0.500000 2.500000 2.000000 Ni
1.500000 2.500000 2.000000 Ni
2.500000 2.500000 2.000000 Ni
3.500000 2.500000 2.000000 Ni
4.500000 2.500000 2.000000 Mo
0.500000 3.500000 2.000000 Al
1.500000 3.500000 2.000000 Ni
2.500000 3.500000 2.000000 Ni
3.500000 3.500000 2.000000 Ni
4.500000 3.500000 2.000000 Ni
0.500000 4.500000 2.000000 Mo
