regime,metric,parameter,S1,S1_conf,ST,ST_conf,log,contamination_%
metal,flux,temperature,0.9557382169547114,0.14001544508899905,0.9651134945045311,0.11386859915389778,True,14.1
metal,flux,oxide_thickness,0.0018945042221433569,0.01217020277368023,0.004768033523837741,0.0009605738119446398,True,14.1
metal,flux,metal_thickness,0.005437441550207552,0.014094201840865095,0.006996016986971431,0.0015786417896011746,True,14.1
metal,flux,k_diss_ref,3.0705997910108607e-06,1.6147703164476362e-05,8.706739361050541e-09,7.039352172676636e-09,True,14.1
metal,flux,trap_gb_N_T,3.968935087946281e-15,1.5016817395471967e-14,5.203892141019584e-27,1.152528682168693e-27,True,14.1
metal,flux,f_gb_defect,0.0002281566443503439,0.0034103160031823056,0.00032008745548272563,8.349954270227692e-05,True,14.1
metal,flux,H_sol_ox,0.02113919756016469,0.026846969871854913,0.02656427942861987,0.007319119511814904,True,14.1
metal,flux,trap_carbide_N_T,-3.278240328430512e-05,0.0005158324462400401,8.747463764104093e-06,2.066280715843507e-06,True,14.1
metal,permeability,temperature,0.8347517567054952,0.14250563215711112,0.887166735173508,0.12847750340740216,True,14.1
metal,permeability,oxide_thickness,0.0,0.0,0.0,0.0,True,14.1
metal,permeability,metal_thickness,0.0,0.0,0.0,0.0,True,14.1
metal,permeability,k_diss_ref,0.0,0.0,0.0,0.0,True,14.1
metal,permeability,trap_gb_N_T,1.4457080747184322e-16,6.783537946594961e-16,9.12414729932112e-30,5.893895733288665e-30,True,14.1
metal,permeability,f_gb_defect,0.0,0.0,0.0,0.0,True,14.1
metal,permeability,H_sol_ox,0.11613398694178449,0.07471362210080654,0.15943314979513723,0.03738223090214705,True,14.1
metal,permeability,trap_carbide_N_T,-6.5931982642239795e-06,8.54708463742761e-06,3.1519273375218463e-09,3.298286615561774e-09,True,14.1
metal,theta,temperature,0.9983240847034379,0.15205188201630787,0.9983413012089963,0.12176435862135115,False,14.1
metal,theta,oxide_thickness,-3.255887866451192e-05,4.144917445549868e-05,1.603173086553831e-07,2.673799649818936e-07,False,14.1
metal,theta,metal_thickness,5.4424687244630724e-05,6.568287745557566e-05,1.833164020085346e-07,1.1551484821050138e-07,False,14.1
metal,theta,k_diss_ref,1.2956174391646033e-05,0.00017737070845960139,1.1966585450059546e-06,9.151199074017317e-07,False,14.1
metal,theta,trap_gb_N_T,5.832493555106787e-17,2.071594672529123e-16,1.0644621287426958e-30,1.4043917049465756e-30,False,14.1
metal,theta,f_gb_defect,0.0,0.0,0.0,0.0,False,14.1
metal,theta,H_sol_ox,3.337306096628214e-05,0.00011327026088542742,5.497778785412549e-07,3.9895823787599716e-07,False,14.1
metal,theta,trap_carbide_N_T,4.4532616625459814e-07,1.0235210839517512e-06,4.933419023667726e-11,3.363008404592471e-11,False,14.1
surface,flux,temperature,0.7892689378416697,0.14347665917678876,0.7934873725448409,0.11257199617798837,True,56.2
surface,flux,P_upstream,0.1036103375278287,0.06137605967531597,0.11328814713596355,0.025746459029372462,True,56.2
surface,flux,f_pinhole,0.05453298141570145,0.03804589967372341,0.06256419517538629,0.017537653936549605,True,56.2
surface,flux,k_diss_ref,0.007726417703286541,0.02035570605901625,0.012019560042737578,0.003941020867871249,True,56.2
surface,flux,metal_thickness,0.021631015307819756,0.021123850307460897,0.014187841053493591,0.0035465947044313498,True,56.2
surface,flux,trap_dislocation_E_b,6.821593734996553e-17,1.0327772945189953e-16,4.175232990796562e-31,1.053634431266424e-31,True,56.2
surface,flux,k_diss_metal_ref,0.01606342154750403,0.0273372979575918,0.02486735356735292,0.009910323481216695,True,56.2
surface,flux,K_s_ref,0.024483243334600446,0.024565581999704756,0.025046220878270006,0.006154352923568718,True,56.2
surface,permeability,temperature,0.9981298355836526,0.13978693963532218,0.9981334491284798,0.11675588320312047,True,56.2
surface,permeability,P_upstream,0.0,0.0,0.0,0.0,True,56.2
surface,permeability,f_pinhole,0.0,0.0,0.0,0.0,True,56.2
surface,permeability,k_diss_ref,0.0,0.0,0.0,0.0,True,56.2
surface,permeability,metal_thickness,0.0,0.0,0.0,0.0,True,56.2
surface,permeability,trap_dislocation_E_b,0.0,0.0,0.0,0.0,True,56.2
surface,permeability,k_diss_metal_ref,0.0,0.0,0.0,0.0,True,56.2
surface,permeability,K_s_ref,-1.0977527356614808e-05,0.00015389299863866103,8.101153759783126e-07,3.2265424588975384e-07,True,56.2
surface,theta,temperature,0.6149196128720014,0.20181955021819298,0.8342826089122098,0.1726050097828145,False,56.2
surface,theta,P_upstream,0.08410668915895723,0.07981236346278545,0.26247927498383855,0.09050472963367816,False,56.2
surface,theta,f_pinhole,0.0,0.0,0.0,0.0,False,56.2
surface,theta,k_diss_ref,0.06749353036759458,0.07638163279609356,0.13320857147051018,0.054474444096953976,False,56.2
surface,theta,metal_thickness,0.0017597955854710987,0.010888982556713653,0.009114478178660157,0.004863678936015799,False,56.2
surface,theta,trap_dislocation_E_b,5.550727474742548e-18,3.906641513216457e-17,3.299589369455388e-32,2.0553533339664054e-32,False,56.2
surface,theta,k_diss_metal_ref,0.0,0.0,0.0,0.0,False,56.2
surface,theta,K_s_ref,0.008520559653546197,0.03246164372905578,0.03941211292777094,0.024024228957697593,False,56.2
oxide,flux,temperature,0.8381342220025468,0.14556322853297068,0.8705897117163044,0.12997859939998987,True,7.9
oxide,flux,H_sol_ox,0.08247176381828564,0.0637942580441019,0.1288980173756632,0.02853153651304355,True,7.9
oxide,flux,f_pinhole,-0.00033868952081719773,0.005854470539081632,0.0009507014202706875,0.000546162549004161,True,7.9
