D_ref,E_D,K_s_ref,H_s,D_ox_ref,E_D_ox,K_ox_ref,H_sol_ox,metal_thickness,oxide_thickness,P_upstream,f_pinhole,f_crack,f_gb_defect,crack_thickness_factor,gb_diffusivity_factor,grain_size,gb_thickness,lattice_density,trap_dislocation_E_b,trap_dislocation_N_T,trap_gb_E_b,trap_gb_N_T,trap_vacancy_E_b,trap_vacancy_N_T,trap_carbide_E_b,trap_carbide_N_T,temperature,k_diss_ref,E_diss,K_eq_ref,H_eq,k_diss_metal_ref,E_diss_metal,K_eq_metal_ref,H_eq_metal,Y_flux,Y_permeability,Y_theta
1.4286190000000003e-07,80000.0,0.1,1000.0,5.2002599999999995e-17,69666.66666666667,0.1866666666666667,70000.0,0.0005,6.6667e-06,10000000.0,0.1,0.06667,0.1,0.17333333333333337,67.0,0.00017333333333333334,3e-10,8e+28,18333.333333333332,816000000000000.0,25000.0,6e+16,45000.0,3.334000000000001e+27,33333.33333333333,2e+27,1273.0,3.1629658000000005e-06,70000.0,6.666666699999999e-07,50000.0,1.346e-08,100000.0,0.001,28333.333333333332,0.0026659430783430556,1.248603980620787e-12,0.608001853230649
1.4286190000000003e-07,80000.0,0.1,1000.0,5.2002599999999995e-17,69666.66666666667,0.1866666666666667,70000.0,0.0005,6.6667e-06,10000000.0,0.1,0.06667,0.1,0.17333333333333337,67.0,0.00017333333333333334,3e-10,8e+28,18333.333333333332,816000000000000.0,25000.0,6e+16,35000.0,3.334000000000001e+27,33333.33333333333,2e+27,1273.0,3.1629658000000005e-06,70000.0,6.666666699999999e-07,50000.0,1.346e-08,100000.0,0.001,28333.333333333332,0.003338383670039974,1.2487467830055764e-12,0.6080013520912941
1.4286190000000003e-07,80000.0,0.1,1000.0,5.2002599999999995e-17,69666.66666666667,0.1866666666666667,70000.0,0.0005,6.6667e-06,10000000.0,0.1,0.06667,0.1,0.17333333333333337,67.0,0.00017333333333333334,3e-10,8e+28,18333.333333333332,816000000000000.0,25000.0,6e+16,35000.0,3.334000000000001e+27,33333.33333333333,2e+27,1273.0,3.1629658000000005e-06,70000.0,6.666666699999999e-07,50000.0,1.346e-08,80000.0,0.001,28333.333333333332,0.0032267610432732403,1.2487467830055764e-12,0.6080013520912941
1.4286190000000003e-07,80000.0,0.1,1000.0,5.2002599999999995e-17,69666.66666666667,0.1866666666666667,70000.0,0.0005,6.6667e-06,10000000.0,0.1,0.06667,0.1,0.17333333333333337,67.0,0.00017333333333333334,3e-10,8e+28,18333.333333333332,816000000000000.0,25000.0,6e+16,35000.0,3.334000000000001e+27,33333.33333333333,2e+27,1273.0,3.1629658000000005e-06,70000.0,6.666666699999999e-07,50000.0,8.973782e-05,80000.0,0.001,28333.333333333332,0.007063128263618268,1.2487467830055764e-12,0.6080013520912941
1.4286190000000003e-07,80000.0,0.1,1000.0,5.2002599999999995e-17,69666.66666666667,0.1866666666666667,70000.0,0.0005,6.6667e-06,10000000.0,0.1,0.06667,0.1,0.17333333333333337,67.0,0.00017333333333333334,3e-10,8e+28,18333.333333333332,816000000000000.0,25000.0,2.0004000000000004e+16,35000.0,3.334000000000001e+27,33333.33333333333,2e+27,1273.0,3.1629658000000005e-06,70000.0,6.666666699999999e-07,50000.0,8.973782e-05,80000.0,0.001,28333.333333333332,0.007063128263628276,1.2487467830055768e-12,0.6080013520912941
1.4286190000000003e-07,80000.0,0.1,1000.0,7.8e-21,69666.66666666667,0.1866666666666667,70000.0,0.0005,6.6667e-06,10000000.0,0.1,0.06667,0.1,0.17333333333333337,67.0,0.00017333333333333334,3e-10,8e+28,18333.333333333332,816000000000000.0,25000.0,2.0004000000000004e+16,35000.0,3.334000000000001e+27,33333.33333333333,2e+27,1273.0,3.1629658000000005e-06,70000.0,6.666666699999999e-07,50000.0,8.973782e-05,80000.0,0.001,28333.333333333332,0.004324471149824348,1.8733523149288184e-16,0.6080610362046478
1.4286190000000003e-07,80000.0,0.1,33666.666666666664,7.8e-21,69666.66666666667,0.1866666666666667,70000.0,0.0005,6.6667e-06,10000000.0,0.1,0.06667,0.1,0.17333333333333337,67.0,0.00017333333333333334,3e-10,8e+28,18333.333333333332,816000000000000.0,25000.0,2.0004000000000004e+16,35000.0,3.334000000000001e+27,33333.33333333333,2e+27,1273.0,3.1629658000000005e-06,70000.0,6.666666699999999e-07,50000.0,8.973782e-05,80000.0,0.001,28333.333333333332,0.004877000570878828,1.8733523207237388e-16,0.6080610362046457
1.4286190000000003e-07,80000.0,0.1,33666.666666666664,7.8e-21,69666.66666666667,0.1866666666666667,70000.0,0.0005,6.6667e-06,10000000.0,0.1,0.06667,0.1,0.17333333333333337,1.0,0.00017333333333333334,3e-10,8e+28,18333.333333333332,816000000000000.0,25000.0,2.0004000000000004e+16,35000.0,3.334000000000001e+27,33333.33333333333,2e+27,1273.0,3.1629658000000005e-06,70000.0,6.666666699999999e-07,50000.0,8.973782e-05,80000.0,0.001,28333.333333333332,0.0048764141621423646,1.8733523207237388e-16,0.6080610362046457
1.4286190000000003e-07,80000.0,0.1,33666.666666666664,7.8e-21,69666.66666666667,0.1866666666666667,170000.0,0.0005,6.6667e-06,10000000.0,0.1,0.06667,0.1,0.17333333333333337,1.0,0.00017333333333333334,3e-10,8e+28,18333.333333333332,816000000000000.0,25000.0,2.0004000000000004e+16,35000.0,3.334000000000001e+27,33333.33333333333,2e+27,1273.0,3.1629658000000005e-06,70000.0,6.666666699999999e-07,50000.0,8.973782e-05,80000.0,0.001,28333.333333333332,0.005359527518666558,8.528982310035427e-13,0.6080200638347669
1.4286190000000003e-07,80000.0,0.1,33666.666666666664,7.8e-21,69666.66666666667,0.1866666666666667,170000.0,0.0005,6.6667e-06,10000000.0,0.1,0.06667,0.1,0.17333333333333337,1.0,0.00017333333333333334,3e-10,8e+28,18333.333333333332,816000000000000.0,25000.0,2.0004000000000004e+16,35000.0,3.334000000000001e+27,33333.33333333333,2e+27,1273.0,3.1629658000000005e-06,70000.0,6.666666699999999e-07,50000.0,8.973782e-05,80000.0,0.001,5000.0,0.005488499667493961,8.528982310035427e-13,0.6080200638347669
