temperature,P_upstream,f_pinhole,k_diss_ref,metal_thickness,trap_dislocation_E_b,k_diss_metal_ref,K_s_ref,Y_flux,Y_permeability,Y_theta,regime_hit
749.0890184469782,4.558372025442889,0.06332215246149873,3.140260161919541e-09,0.0038452832854510635,16511.037210115366,4.614040729938296e-08,0.03801881823126817,9.090420337699894e-11,2.3041886732401643e-16,0.00031447634799337907,metal
891.5941097743137,4.558372025442889,0.06332215246149873,3.140260161919541e-09,0.0038452832854510635,16511.037210115366,4.614040729938296e-08,0.03801881823126817,1.225355175598782e-09,1.987346426124688e-14,5.8691276185838215e-05,metal
749.0890184469782,3.765095224608386,0.06332215246149873,3.140260161919541e-09,0.0038452832854510635,16511.037210115366,4.614040729938296e-08,0.03801881823126817,8.028648878588411e-11,2.3041886732401643e-16,0.0002763878918982061,metal
749.0890184469782,4.558372025442889,0.04331063344200197,3.140260161919541e-09,0.0038452832854510635,16511.037210115366,4.614040729938296e-08,0.03801881823126817,8.338552577151981e-11,2.3041886732401643e-16,0.00031447634799337907,oxide
749.0890184469782,4.558372025442889,0.06332215246149873,9.009774870780401e-09,0.0038452832854510635,16511.037210115366,4.614040729938296e-08,0.03801881823126817,1.1361343996553339e-10,2.3041886732401643e-16,0.0003941845731669676,oxide
749.0890184469782,4.558372025442889,0.06332215246149873,3.140260161919541e-09,0.0016148223378181662,16511.037210115366,4.614040729938296e-08,0.03801881823126817,1.3220428087424865e-10,2.3041886732401643e-16,0.0003011376473832381,metal
749.0890184469782,4.558372025442889,0.06332215246149873,3.140260161919541e-09,0.0038452832854510635,18423.956417849455,4.614040729938296e-08,0.03801881823126817,9.09042033769989e-11,2.3041886732401643e-16,0.00031447634799337907,metal
749.0890184469782,4.558372025442889,0.06332215246149873,3.140260161919541e-09,0.0038452832854510635,16511.037210115366,6.346428951315348e-08,0.03801881823126817,9.108898962210351e-11,2.3041886732401643e-16,0.00031447634799337907,metal
749.0890184469782,4.558372025442889,0.06332215246149873,3.140260161919541e-09,0.0038452832854510635,16511.037210115366,4.614040729938296e-08,0.017294505506935863,6.687571568169801e-11,2.303402527087314e-16,0.0003356666242238589,metal
749.0890184469782,3.765095224608386,0.04331063344200197,9.009774870780401e-09,0.0016148223378181662,18423.956417849455,6.346428951315348e-08,0.017294505506935863,9.805045594799123e-11,2.303402527087314e-16,0.00035311053219184714,oxide
891.5941097743137,4.558372025442889,0.04331063344200197,9.009774870780401e-09,0.0016148223378181662,18423.956417849455,6.346428951315348e-08,0.017294505506935863,1.8881235867262044e-09,1.9853049305278223e-14,0.00015457510943032386,surface
891.5941097743137,3.765095224608386,0.06332215246149873,9.009774870780401e-09,0.0016148223378181662,18423.956417849455,6.346428951315348e-08,0.017294505506935863,1.8271433727598884e-09,1.9853049305278223e-14,0.0001289397745864074,metal
891.5941097743137,3.765095224608386,0.04331063344200197,3.140260161919541e-09,0.0016148223378181662,18423.956417849455,6.346428951315348e-08,0.017294505506935863,9.119571312381509e-10,1.9853049305278223e-14,4.6979475830156336e-05,metal
